tissue,variant,cut5,cut10,cut15,n_negative_lt1,n_positive_cut5,n_positive_cut10,n_positive_cut15
Artery,baseline,0.883088158128301,0.909776233672889,0.9238075558528616,2222,5309,3554,2570
Artery,bioaware,0.8777930722060717,0.9046506718764166,0.9183378454576976,2222,5309,3554,2570
Brain,baseline,0.893014144006598,0.9159636786708862,0.9301419906258617,2148,4841,3294,2418
Brain,bioaware,0.8871434234350676,0.912608868446552,0.9274108833038369,2148,4841,3294,2418
Liver,baseline,0.869678169206994,0.8956624809668754,0.9092207474911299,1804,4290,3026,2346
Liver,bioaware,0.8685094377167548,0.8939584759138465,0.9100288409010573,1804,4290,3026,2346
MuscleSkeletal,baseline,0.8316018306636157,0.8576359537898,0.8687522281639929,660,2185,1183,765
MuscleSkeletal,bioaware,0.8372103182858333,0.8638412869182099,0.8781956823133293,660,2185,1183,765
Combined,baseline,0.8935009669683608,0.9181226888595933,0.9330998996302837,2325,5560,3597,2539
Combined,bioaware,0.8608754157963951,0.8870839797800438,0.9030385343480416,2325,5560,3597,2539
