epoch,train_loss,selection_split,selection_acc,selection_auc,selection_auprc,selection_f1,selection_precision,selection_recall,selection_specificity,selection_threshold,best_so_far,best_epoch_so_far,elapsed_sec
1,0.6784487013914147,valid,0.4722222222222222,0.5741671325304605,0.5250845438388668,0.6281453867660765,0.4625943719972546,0.9782293178519593,0.04860267314702309,0.45000000000000007,1,1,16.616957187652588
2,0.6577395821104244,valid,0.5076058201058201,0.631662366611586,0.5730497221406683,0.6447148651873061,0.4802701741912549,0.9804063860667634,0.1117861482381531,0.125,1,2,7.144339323043823
3,0.6070455616834213,valid,0.5654761904761905,0.7030259396487416,0.683707061555882,0.6543924250394529,0.5132013201320133,0.9027576197387518,0.28311057108140947,0.375,1,3,6.770707368850708
4,0.5870636519120664,valid,0.6273148148148148,0.7300876294204889,0.7050447399220708,0.6713327500729076,0.5611896635787421,0.8352685050798259,0.4532199270959903,0.375,1,4,6.85236668586731
5,0.5723429966946038,valid,0.5773809523809523,0.7154365070267543,0.7036846140703882,0.6610079575596817,0.5209030100334449,0.9042089985486212,0.3037667071688943,0.375,0,4,6.341304063796997
6,0.5670243088079958,valid,0.5763888888888888,0.7165433376774766,0.7016270663387074,0.6695898890895022,0.5194077631052421,0.941944847605225,0.2703523693803159,0.2,0,4,6.330603837966919
7,0.5496915627499016,valid,0.5337301587301587,0.7166998502769613,0.7007380584271127,0.6547502448579824,0.4940872135994087,0.9702467343976778,0.16828675577156743,0.35,0,4,6.330890417098999
8,0.5376640460929092,valid,0.5618386243386243,0.6998943650173619,0.6734278863833492,0.6537758035014372,0.5108207431604737,0.9078374455732946,0.27217496962332927,0.275,0,4,6.378992557525635
9,0.5376716876516536,valid,0.6190476190476191,0.7135779750179438,0.6981974542690981,0.6561194029850747,0.5573022312373225,0.7975326560232221,0.46962332928311057,0.30000000000000004,0,4,6.26041316986084
10,0.5301302555872469,valid,0.6187169312169312,0.7319900290452115,0.7167824065293977,0.6635541289757806,0.554904831625183,0.8251088534107403,0.4459295261239368,0.30000000000000004,0,4,6.297437429428101
11,0.5256543603478646,valid,0.603505291005291,0.701681694815421,0.6783056894942119,0.6525644740654882,0.543174143753015,0.8171262699564587,0.4246658566221142,0.4,0,4,6.286470174789429
12,0.5177652178978434,valid,0.5634920634920635,0.7047828486880277,0.6910160530171844,0.647812166488794,0.5122362869198313,0.8809869375907112,0.2976913730255164,0.375,0,4,6.322673320770264
13,0.5088532092619915,valid,0.5601851851851852,0.6769941468696598,0.6565717858955653,0.6485200845665962,0.5099750623441397,0.8904208998548622,0.28371810449574725,0.15000000000000002,0,4,6.296923637390137
14,0.502982708872581,valid,0.6197089947089947,0.728052524746626,0.7036980349014674,0.6708643388666286,0.553875236294896,0.8505079825834543,0.4264884568651276,0.225,0,4,6.258466005325317
15,0.4976209675779148,valid,0.6292989417989417,0.7239730569070995,0.7065213239911288,0.667062667062667,0.5646053293112117,0.8149492017416545,0.4738760631834751,0.45000000000000007,0,4,6.273661136627197
16,0.4881751160232388,valid,0.6180555555555556,0.7193182399342559,0.7051737278707116,0.6619841966637401,0.5546836684649338,0.8207547169811321,0.44835965978128794,0.125,0,4,6.311997413635254
17,0.4925796918723048,valid,0.6177248677248677,0.738258909755276,0.7053698656739258,0.6851851851851852,0.5483870967741935,0.9129172714078374,0.370595382746051,0.275,1,17,6.680386781692505
18,0.4790036647903676,valid,0.5502645502645502,0.6957686047188328,0.6842803984592005,0.6493037648272305,0.5036,0.9136429608127722,0.24605103280680438,0.1,0,17,6.43989372253418
19,0.4800988733768463,valid,0.6061507936507936,0.7280075549293092,0.7056179526717039,0.6709035645205857,0.5417224453369032,0.8809869375907112,0.37606318347509116,0.17500000000000002,0,17,6.431464910507202
20,0.47658204910706503,valid,0.593584656084656,0.7239135380312389,0.6991534323474078,0.665578231292517,0.5324336090552895,0.8875181422351234,0.34750911300121506,0.30000000000000004,0,17,6.367653131484985
21,0.4719409954791166,valid,0.6101190476190477,0.7303085105820153,0.706836087613453,0.6677937447168216,0.5458314140948871,0.8599419448476052,0.40097205346294046,0.6,0,17,6.365957498550415
22,0.4641961522248326,valid,0.5767195767195767,0.6909449304907707,0.6706807337926461,0.6446418656302054,0.5220323741007195,0.8425253991291727,0.35419198055893075,0.1,0,17,6.454474925994873
23,0.4630227691056777,valid,0.5601851851851852,0.7150051053969071,0.6975181987927781,0.6575695159629248,0.5095770151636073,0.9267053701015965,0.2533414337788578,0.125,0,17,6.454838752746582
24,0.4667260312304205,valid,0.5601851851851852,0.7198675771144192,0.6943427929217298,0.658273381294964,0.5095465393794749,0.9296081277213353,0.2509113001215067,0.30000000000000004,0,17,6.452292203903198
25,0.46205759048461914,valid,0.6127645502645502,0.751757349919848,0.7232088511019481,0.683769916284094,0.5445161290322581,0.918722786647315,0.35662211421628187,0.17500000000000002,0,17,6.453161954879761
26,0.4487694720832669,valid,0.6025132275132276,0.714201600572792,0.6707038564635363,0.6666666666666666,0.5394973070017953,0.872278664731495,0.37667071688942894,0.2,0,17,6.463460922241211
27,0.44167619761155574,valid,0.656415343915344,0.7386795098113561,0.7106927614054155,0.6802092951677439,0.5905932656333511,0.8018867924528302,0.534629404617254,0.475,0,17,6.460649251937866
28,0.4403227087186307,valid,0.6534391534391535,0.7418606835059528,0.7165114834066779,0.6710608913998745,0.5912610619469026,0.7757619738751814,0.5510328068043743,0.35,0,17,6.5071327686309814
29,0.4356701909279337,valid,0.6111111111111112,0.7359301786271685,0.6990259998981294,0.6726057906458798,0.5456187895212286,0.8766328011611031,0.3888213851761847,0.17500000000000002,0,17,6.481434345245361
30,0.43564343269990413,valid,0.6517857142857143,0.7314384874622386,0.7160727774941534,0.6668775703891173,0.591138530566461,0.7648766328011611,0.5571081409477521,0.475,0,17,6.435446500778198
31,0.4231370316476238,valid,0.6359126984126984,0.759236006891845,0.7235728190158105,0.6860564585115483,0.565054015969939,0.8730043541364296,0.4374240583232078,0.15000000000000002,1,31,6.879462718963623
32,0.41553036594877435,valid,0.6577380952380952,0.7566361342181512,0.7068926884990079,0.6920559357334126,0.5864851235501765,0.8439767779390421,0.5018226002430134,0.25,1,32,6.807803392410278
33,0.4036846440665576,valid,0.666005291005291,0.7635381194151456,0.7320223395349371,0.6903740036787247,0.5976645435244161,0.8171262699564587,0.5394896719319563,0.525,0,32,6.399835586547852
34,0.4098020968388538,valid,0.6402116402116402,0.7456930377905182,0.7017900566624584,0.6837209302325581,0.5703200775945684,0.8534107402031931,0.4617253948967193,0.35,0,32,6.374661207199097
35,0.39838395860730386,valid,0.628968253968254,0.7230132599237805,0.6801210778881832,0.6680473372781065,0.563936063936064,0.8193033381712627,0.46962332928311057,0.275,0,32,6.3683812618255615
36,0.3965406217137162,valid,0.6613756613756614,0.7592880307981525,0.7281483973262033,0.6889428918590522,0.5924764890282131,0.8229317851959361,0.5261239368165249,0.275,0,32,6.388767242431641
37,0.38770040200681105,valid,0.6785714285714286,0.7712235493706872,0.7408280455111973,0.6998147004323657,0.6091397849462366,0.8222060957910015,0.5583232077764277,0.525,1,37,7.015589952468872
38,0.3819747281317808,valid,0.6974206349206349,0.7763646576033378,0.7440349997278879,0.7034035656401945,0.635618043350908,0.7873730043541364,0.6221142162818954,0.55,1,38,6.921801567077637
39,0.3810590201494645,valid,0.6375661375661376,0.7321831347313363,0.6900548372630299,0.6724447101016139,0.5716463414634146,0.816400580551524,0.48784933171324424,0.42500000000000004,0,38,6.407247066497803
40,0.3773759360216102,valid,0.6726190476190477,0.7506820422293038,0.7127139080345107,0.6804389928986443,0.6127906976744186,0.7648766328011611,0.5953827460510328,0.325,0,38,6.44632363319397
41,0.3769951906739449,valid,0.703042328042328,0.7865124054972515,0.7463741914838651,0.7151015228426396,0.6352874859075536,0.8178519593613933,0.6069258809234508,0.55,1,41,7.022199392318726
42,0.3649176012496559,valid,0.7179232804232805,0.8146976793810742,0.7735259674782445,0.7335207747578881,0.643993417443774,0.8519593613933236,0.6057108140947752,0.325,1,42,6.993532657623291
43,0.36269923375577345,valid,0.6779100529100529,0.7815311164682998,0.7505882879533323,0.7015931372549019,0.6071049840933191,0.8309143686502177,0.5498177399756987,0.42500000000000004,0,42,6.363880395889282
44,0.36052508074410106,valid,0.6951058201058201,0.775678647448977,0.7449087461310976,0.704865556978233,0.6305841924398625,0.7989840348330914,0.6081409477521263,0.4,0,42,6.268587350845337
45,0.3560378405512596,valid,0.708994708994709,0.7871582955204771,0.7490672505984215,0.708029197080292,0.652200488997555,0.7743105950653121,0.6543134872417983,0.35,0,42,6.364462375640869
46,0.3565724139310876,valid,0.6498015873015873,0.7495886584357205,0.7224328125686049,0.6793823796548593,0.5828571428571429,0.8142235123367199,0.5121506682867558,0.2,0,42,6.367060422897339
47,0.34941006436639904,valid,0.6789021164021164,0.7836321327861713,0.7571768148920919,0.7070889894419307,0.6050593701600413,0.8505079825834543,0.5352369380315918,0.2,0,42,6.385880947113037
48,0.3463849157703166,valid,0.6878306878306878,0.7541846178535465,0.7194822429235027,0.684913217623498,0.6341161928306551,0.7445573294629898,0.6403402187120292,0.5,0,42,6.405441045761108
49,0.34600196140153067,valid,0.7248677248677249,0.7960634215505946,0.7748242011087102,0.7136958017894013,0.6786649214659686,0.7525399129172714,0.7017010935601458,0.42500000000000004,0,42,6.404285907745361
50,0.34283588796245806,valid,0.732473544973545,0.8087477757575652,0.7753460937025416,0.727150084317032,0.6792690611216131,0.7822931785195936,0.6907654921020656,0.42500000000000004,0,42,6.382343530654907
51,0.3421701855805455,valid,0.7003968253968254,0.7951779129419607,0.7741877079755801,0.7067961165048544,0.6378504672897196,0.7924528301886793,0.6233292831105711,0.275,0,42,6.3431079387664795
52,0.3296594893445774,valid,0.6970899470899471,0.8070239327604236,0.7754887905944318,0.7179802955665024,0.6235294117647059,0.8461538461538461,0.5722964763061968,0.225,0,42,6.350641489028931
53,0.33719129160958894,valid,0.6954365079365079,0.7868137473613298,0.7501138092231041,0.7093720416535184,0.6275823562255723,0.8156748911465893,0.594775212636695,0.4,0,42,6.365455150604248
54,0.3317178658076695,valid,0.7261904761904762,0.8082500216031475,0.7843423751773683,0.7309941520467836,0.6617647058823529,0.816400580551524,0.6506682867557716,0.4,0,42,6.2634313106536865
55,0.3337954580783844,valid,0.6494708994708994,0.7564073172065102,0.723948689691319,0.6865759905381431,0.5793413173652695,0.8425253991291727,0.48784933171324424,0.2,0,42,6.536079406738281
56,0.3311774870570825,valid,0.6689814814814815,0.7777942128253919,0.7494365191990606,0.7014613778705637,0.5954430379746836,0.8534107402031931,0.5145808019441069,0.325,0,42,6.260531663894653
57,0.3354049787229421,valid,0.7404100529100529,0.8155366750904247,0.7852973899336997,0.7312564190345772,0.6921581335061568,0.7750362844702468,0.7114216281895505,0.4,0,42,6.19737696647644
58,0.3196064817662142,valid,0.7232142857142857,0.8091269330408237,0.7818825154913496,0.723671178606801,0.663840096910963,0.795355587808418,0.6628189550425273,0.5,0,42,6.263732671737671
59,0.3190780774671204,valid,0.7056878306878307,0.7895857838944568,0.7608620063701006,0.7093403004572175,0.6448931116389549,0.7880986937590712,0.6366950182260024,0.25,0,42,6.2405173778533936
60,0.316979675876851,valid,0.6683201058201058,0.7779355150454901,0.7343217779877913,0.7006863622799164,0.5950329447541814,0.8519593613933236,0.5145808019441069,0.30000000000000004,0,42,6.136731147766113
61,0.31695499408001804,valid,0.7390873015873016,0.811525764178278,0.7754650751291259,0.7306247866165927,0.6898774983881367,0.7764876632801161,0.7077764277035237,0.4,0,42,6.286077499389648
62,0.3137144057118163,valid,0.7248677248677249,0.8107595137616459,0.7864722369664354,0.7211796246648794,0.6699875466998755,0.7808417997097242,0.6780072904009721,0.375,0,42,6.3760035037994385
63,0.3130656398680745,valid,0.7371031746031746,0.8187758245789151,0.7787399668463211,0.7315096251266464,0.6841440303221731,0.785921625544267,0.6962332928311057,0.45000000000000007,0,42,6.355570554733276
64,0.30819694089646243,valid,0.7268518518518519,0.8128162215830435,0.7922587411676292,0.7222595830531271,0.6729323308270677,0.7793904208998549,0.6828675577156743,0.30000000000000004,0,42,6.322402000427246
65,0.3117955053339199,valid,0.7172619047619048,0.7969132188337122,0.7774356944610572,0.7147147147147147,0.6615194564546016,0.7772133526850508,0.6670716889428918,0.45000000000000007,0,42,6.3247199058532715
66,0.3024698130938472,valid,0.7132936507936508,0.8098446865956439,0.7775155362605268,0.7282983390786587,0.640926640926641,0.8432510885341074,0.6044957472660997,0.25,0,42,6.352476596832275
67,0.30639774033001493,valid,0.7685185185185185,0.8426854387731529,0.8198998641937276,0.7501784439685939,0.738061797752809,0.762699564586357,0.7733900364520049,0.4,1,67,6.9619786739349365
68,0.30437809928339354,valid,0.7331349206349206,0.8267965442018034,0.7959689992451635,0.7405978784956606,0.6647432198499712,0.8359941944847605,0.6470230862697448,0.30000000000000004,0,67,6.459512710571289
69,0.2976007911623741,valid,0.718584656084656,0.8032347847709272,0.783242335743425,0.7122083192424755,0.6668777707409753,0.7641509433962265,0.6804374240583232,0.225,0,67,6.2766711711883545
70,0.3002713404747905,valid,0.718584656084656,0.8091203198323949,0.7803772766879478,0.7243278263686427,0.6541837331772966,0.8113207547169812,0.6409477521263669,0.225,0,67,6.261127710342407
