epoch,train_loss,selection_split,selection_acc,selection_auc,selection_auprc,selection_f1,selection_precision,selection_recall,selection_specificity,selection_threshold,best_so_far,best_epoch_so_far,elapsed_sec
1,0.6775687981624993,valid,0.46296296296296297,0.5775932153772085,0.5291369391692371,0.6290543627227044,0.459,0.9992743105950653,0.013973268529769137,0.5,1,1,8.772750854492188
2,0.6297777112649412,valid,0.5340608465608465,0.6712040624498499,0.654036968561031,0.6464240903387704,0.49405446873801306,0.9346879535558781,0.19866342648845686,0.35,1,2,6.875537633895874
3,0.5804814817954083,valid,0.6372354497354498,0.7338452544498075,0.7198782890424968,0.6678776869512565,0.5729870129870129,0.8004354136429608,0.5006075334143378,0.475,1,3,6.705681324005127
4,0.5126412894044604,valid,0.7321428571428571,0.7972381478078536,0.7963265522513108,0.7141848976711362,0.695054945054945,0.7343976777939042,0.7302551640340219,0.225,1,4,6.543714761734009
5,0.44890864588776414,valid,0.7708333333333334,0.8552439215796926,0.839102411066975,0.7676835400603419,0.7133956386292835,0.8309143686502177,0.7205346294046172,0.35,1,5,6.666882276535034
6,0.40812007140140144,valid,0.7837301587301587,0.8611786148238153,0.8512912755863462,0.7670940170940171,0.7531468531468531,0.7815674891146589,0.7855407047387606,0.17500000000000002,0,5,6.229684352874756
7,0.40473614359388543,valid,0.7473544973544973,0.851747297843036,0.8424336889650057,0.7538659793814433,0.6778679026651216,0.8490566037735849,0.6622114216281896,0.15000000000000002,0,5,6.219443321228027
8,0.38363017902082325,valid,0.8022486772486772,0.8741250725248525,0.8593489240249782,0.7833333333333333,0.7821997105643994,0.7844702467343977,0.8171324422843257,0.25,1,8,6.714337110519409
9,0.36420402174093286,valid,0.8055555555555556,0.8788768832213203,0.8589828637036795,0.7939733707077785,0.7676151761517616,0.8222060957910015,0.7916160388821385,0.4,1,9,6.676356315612793
10,0.35932233747170894,valid,0.781415343915344,0.8647285851084655,0.8407494876915549,0.776915288558893,0.7261829652996845,0.8352685050798259,0.7363304981773997,0.17500000000000002,0,9,6.209922552108765
11,0.35594781199280096,valid,0.8111772486772487,0.8923640809315629,0.8759604045185879,0.801253045596937,0.7698996655518394,0.8352685050798259,0.7910085054678008,0.45000000000000007,1,11,6.577848196029663
12,0.3411169696827324,valid,0.7893518518518519,0.8551892523900136,0.8418553008147884,0.7716027249910362,0.7625797306874557,0.7808417997097242,0.7964763061968408,0.65,0,11,6.2684245109558105
13,0.3353333716489831,valid,0.7705026455026455,0.8450159334235081,0.8260955049109087,0.7596952908587258,0.7264900662251655,0.7960812772133526,0.7490886998784934,0.2,0,11,6.289712429046631
14,0.3238857808161755,valid,0.796957671957672,0.8747841889649359,0.8548027021649979,0.789293067947838,0.7486979166666666,0.8345428156748912,0.7654921020656136,0.17500000000000002,0,11,6.347702503204346
15,0.3204095524792768,valid,0.7662037037037037,0.854524404502625,0.8341270610267301,0.7650382186773014,0.7057020232985898,0.8352685050798259,0.7083839611178615,0.1,0,11,6.248478889465332
16,0.3143933646532954,valid,0.7933201058201058,0.8541858082310636,0.8406598742231,0.7736327417602318,0.7722342733188721,0.7750362844702468,0.8086269744835966,0.25,0,11,6.284297227859497
17,0.31130995951136764,valid,0.7976190476190477,0.8653237738670692,0.8458494495779579,0.7834394904458599,0.7645027624309392,0.8033381712626996,0.792831105710814,0.125,0,11,6.384475231170654
18,0.3035390307100452,valid,0.8042328042328042,0.8745130474193499,0.8537149011803353,0.7896233120113717,0.7736768802228412,0.8062409288824384,0.8025516403402188,0.225,0,11,6.20399022102356
19,0.3028343794297199,valid,0.8042328042328042,0.8798543154271163,0.8601342290157779,0.7944444444444444,0.7616511318242344,0.8301886792452831,0.7825030376670717,0.30000000000000004,0,11,6.271268129348755
20,0.3019371148274869,valid,0.765542328042328,0.8436302458173661,0.8243462160447974,0.70568700705687,0.8244422890397672,0.6168359941944848,0.8900364520048603,0.1,0,11,6.184486389160156
21,0.3113720337955319,valid,0.7638888888888888,0.8444207446649042,0.8337985205482772,0.7553118574366005,0.7155844155844155,0.7997097242380261,0.7339003645200486,0.1,0,11,6.1974499225616455
22,0.2882429151510706,valid,0.7893518518518519,0.8643132756191286,0.8483659469649032,0.775783174938402,0.7532467532467533,0.7997097242380261,0.7806804374240583,0.1,0,11,6.3838951587677
23,0.2864933445745585,valid,0.77744708994709,0.8538383943482639,0.8360716707155693,0.7667244367417677,0.7339084273390842,0.8026124818577649,0.7563791008505468,0.125,0,11,6.263835191726685
24,0.2741124167734263,valid,0.7807539682539683,0.8437290030632382,0.8221594180075777,0.754353464246017,0.7706283118849356,0.7387518142235123,0.81591737545565,0.1,0,11,6.306941032409668
25,0.26900232203152713,valid,0.8234126984126984,0.8966911032066126,0.877030878919508,0.8080517613227893,0.8005698005698005,0.8156748911465893,0.8298906439854192,0.4,1,25,6.673245906829834
26,0.2784625468205433,valid,0.7976190476190477,0.8738799429324201,0.8544197602084057,0.7902673063742289,0.7487012987012988,0.8367198838896952,0.7648845686512759,0.17500000000000002,0,25,6.206331014633179
27,0.2732213623061472,valid,0.8191137566137566,0.8802555167384715,0.8631650902174358,0.8011632133769538,0.8026219956300072,0.7997097242380261,0.8353584447144593,0.275,0,25,6.172359228134155
28,0.26682024433904766,valid,0.7791005291005291,0.8575063001832299,0.8390920528416607,0.771545827633379,0.7296248382923674,0.818577648766328,0.7460510328068044,0.17500000000000002,0,25,6.184466600418091
29,0.2600514034227449,valid,0.7685185185185185,0.8399286126194125,0.8224125505048947,0.7386109036594474,0.7607692307692308,0.7177068214804064,0.8110571081409478,0.1,0,25,6.264096736907959
30,0.26202638295232034,valid,0.8068783068783069,0.8805167384714141,0.8581045416362514,0.792022792022792,0.7776223776223776,0.806966618287373,0.8068043742405833,0.17500000000000002,0,25,6.29115629196167
31,0.26185547606069215,valid,0.7824074074074074,0.8600140288194806,0.8361633357094976,0.7735719201651755,0.7356020942408377,0.8156748911465893,0.7545565006075334,0.1,0,25,6.275230169296265
32,0.25587139020160754,valid,0.7483465608465608,0.8110262465016127,0.7981072559097737,0.7288920555753473,0.7158852344296711,0.7423802612481858,0.7533414337788579,0.225,0,25,6.200164794921875
33,0.2567644554133318,valid,0.8224206349206349,0.891460937100452,0.8710630831338191,0.8081457663451233,0.7959183673469388,0.8207547169811321,0.8238153098420413,0.35,1,33,6.927030324935913
34,0.2543225875314401,valid,0.8161375661375662,0.8863722936546706,0.8661068623383146,0.8029766123316796,0.7846260387811634,0.8222060957910015,0.8110571081409478,0.30000000000000004,0,33,6.383628845214844
35,0.24851097349001436,valid,0.7962962962962963,0.8703074877391117,0.8542993265985146,0.7847658979734451,0.7567385444743935,0.8149492017416545,0.7806804374240583,0.25,0,33,6.224024295806885
