epoch,train_loss,selection_split,selection_acc,selection_auc,selection_auprc,selection_f1,selection_precision,selection_recall,selection_specificity,selection_threshold,best_so_far,best_epoch_so_far,elapsed_sec
1,0.6770570667422547,valid,0.4626322751322751,0.586517078831208,0.5460563656554489,0.62891071020781,0.45884705098300566,0.9992743105950653,0.013365735115431349,0.275,1,1,9.450112342834473
2,0.5910243781245484,valid,0.7503306878306878,0.8095607595137618,0.778734880878401,0.7275351858534825,0.7236180904522613,0.7314949201741655,0.7660996354799514,0.225,1,2,7.891720533370972
3,0.48644110742880375,valid,0.7863756613756614,0.8600402612129152,0.8370012859792479,0.7789185489390829,0.7370466321243523,0.8258345428156749,0.7533414337788579,0.42500000000000004,1,3,7.761874437332153
4,0.45568615198135376,valid,0.7870370370370371,0.8699572081326591,0.8560771534169358,0.7799043062200957,0.7370801033591732,0.8280116110304789,0.75273390036452,0.225,1,4,7.849059104919434
5,0.4243101465458773,valid,0.8005952380952381,0.8752211016018073,0.860985418394583,0.7928546891102713,0.7527723418134377,0.8374455732946299,0.7697448359659781,0.2,1,5,7.834508657455444
6,0.4122733613666223,valid,0.7976190476190477,0.8754657903136778,0.862711480475507,0.7855641205325858,0.7594850948509485,0.8134978229317852,0.784325637910085,0.325,0,5,7.246183395385742
7,0.40066382957964525,valid,0.8029100529100529,0.87411537315249,0.8608134694796014,0.7872947894361171,0.7745786516853933,0.8004354136429608,0.8049817739975699,0.4,0,5,7.278477430343628
8,0.382259590285165,valid,0.8022486772486772,0.8759675123931525,0.8601020518669802,0.7901754385964912,0.7649456521739131,0.8171262699564587,0.7897934386391251,0.6,0,5,7.280020713806152
9,0.37542412414842724,valid,0.7976190476190477,0.8725784635136066,0.8496751743547887,0.7851123595505618,0.7605442176870748,0.8113207547169812,0.7861482381530984,0.17500000000000002,0,5,7.31767725944519
10,0.3700686559385183,valid,0.8035714285714286,0.8836961486437632,0.862149554440958,0.7943213296398892,0.7596026490066226,0.8323657474600871,0.7794653705953828,0.275,1,10,7.829982757568359
11,0.35050123929977417,valid,0.7906746031746031,0.8744455926933746,0.8602707556262946,0.7787486892694861,0.75118004045853,0.8084179970972424,0.775820170109356,0.75,0,10,7.309812784194946
12,0.3498946215425219,valid,0.7896825396825397,0.878117686893679,0.8638533240732794,0.7881412391738841,0.728448275862069,0.8584905660377359,0.7320777642770352,0.15000000000000002,0,10,7.320138216018677
13,0.33782781447683063,valid,0.8078703703703703,0.8796466606824479,0.8563560273635812,0.7959255356515631,0.7712729748127978,0.8222060957910015,0.795868772782503,0.35,1,13,7.828917741775513
14,0.3399435172275621,valid,0.7953042328042328,0.8740871567965266,0.85542590385504,0.7876500857632933,0.7469095640858816,0.8330914368650217,0.7636695018226003,0.25,0,13,7.2280189990997314
15,0.32829461778913227,valid,0.8012566137566137,0.8657240934173005,0.8427305190738891,0.7894921190893169,0.7630331753554502,0.8178519593613933,0.787363304981774,0.1,0,13,7.3733625411987305
16,0.3264419941269622,valid,0.8052248677248677,0.8836326618428456,0.8642167482735601,0.7929701230228471,0.7689161554192229,0.818577648766328,0.7940461725394897,0.15000000000000002,0,13,7.278460502624512
17,0.3213360923893598,valid,0.7966269841269841,0.874660301527034,0.8553470136931057,0.7907451514120449,0.7443946188340808,0.8432510885341074,0.7575941676792224,0.225,0,13,7.263206720352173
18,0.3200959073645728,valid,0.8336640211640212,0.9005192691258397,0.8850240996721075,0.8238178633975481,0.7962085308056872,0.8534107402031931,0.8171324422843257,0.42500000000000004,1,18,7.728106737136841
19,0.3159092783319707,valid,0.7976190476190477,0.8715833960853333,0.8525538196053687,0.7922606924643585,0.7442602040816326,0.8468795355587808,0.7563791008505468,0.15000000000000002,0,18,7.223049163818359
20,0.30391399684000986,valid,0.8098544973544973,0.8883046731576042,0.8708824638213547,0.8078850651520214,0.7486068111455109,0.8773584905660378,0.7533414337788579,0.17500000000000002,0,18,7.264084815979004
21,0.300474366363214,valid,0.8187830687830688,0.8905901979906428,0.8709273932204457,0.8079887876664331,0.7811653116531165,0.8367198838896952,0.8037667071688943,0.325,0,18,7.143735885620117
22,0.3033288683818311,valid,0.8072089947089947,0.8803974802794126,0.859355089887208,0.8032399595005062,0.750788643533123,0.8635703918722787,0.7600243013365735,0.17500000000000002,0,18,7.224128723144531
23,0.29806468255665836,valid,0.8277116402116402,0.9007538175847858,0.8797231642366347,0.8226081035069799,0.7748556767158435,0.8766328011611031,0.7867557715674363,0.325,0,18,7.191467046737671
24,0.2941728270783716,valid,0.798941798941799,0.8840832417771366,0.8593086951535917,0.799074686054197,0.7336165048543689,0.8773584905660378,0.7332928311057109,0.375,0,18,7.2736897468566895
25,0.29026936237909357,valid,0.8214285714285714,0.8883390618414347,0.8734639061127689,0.8071428571428572,0.7946554149085795,0.8200290275761973,0.8226002430133658,0.25,0,18,7.25886082649231
26,0.2885367757811838,valid,0.8369708994708994,0.899039233079445,0.8808235732950329,0.8239914316315602,0.8109627547434997,0.8374455732946299,0.8365735115431349,0.25,1,26,7.881800413131714
27,0.287408959804749,valid,0.8151455026455027,0.8837737436226627,0.8662179752727511,0.8048865619546248,0.7753866845998655,0.8367198838896952,0.7970838396111786,0.17500000000000002,0,26,7.256726503372192
28,0.2829929064122998,valid,0.810515873015873,0.8878589429094943,0.864754879209263,0.806484295845998,0.7542640555906507,0.8664731494920174,0.7636695018226003,0.55,0,26,7.2753684520721436
29,0.28213699405290643,valid,0.8204365079365079,0.8944390852962806,0.8741523894033065,0.8134661628306424,0.7723418134377038,0.8592162554426706,0.7879708383961118,0.2,0,26,7.291304588317871
30,0.2787071557677522,valid,0.8283730158730159,0.8956903043310344,0.8741095053212257,0.8143112701252236,0.803105151729005,0.8258345428156749,0.830498177399757,0.35,0,26,7.30580997467041
31,0.27495563972969445,valid,0.8217592592592593,0.8837516995945662,0.863290213655167,0.8061848256023013,0.7990021382751248,0.8134978229317852,0.8286755771567437,0.30000000000000004,0,26,7.18236780166626
32,0.2696578587804522,valid,0.8138227513227513,0.8877147749657436,0.8690048212959309,0.8030779993004548,0.775151924375422,0.8330914368650217,0.7976913730255164,0.2,0,26,7.238693475723267
33,0.2753808464930982,valid,0.7896825396825397,0.8650191253987766,0.8450534069412454,0.7796257796257796,0.7460212201591512,0.816400580551524,0.767314702308627,0.1,0,26,7.269808053970337
34,0.26766481356961386,valid,0.8101851851851852,0.8857442592942031,0.8692878785712477,0.8058186738836265,0.7547528517110266,0.8642960812772134,0.7648845686512759,0.35,0,26,7.241012811660767
35,0.2639399903769396,valid,0.8194444444444444,0.8963765349256764,0.8784941965806046,0.8150406504065041,0.764294790343075,0.8730043541364296,0.7746051032806804,0.30000000000000004,0,26,7.099239349365234
36,0.2670469919637758,valid,0.8201058201058201,0.8838971901800027,0.8606874704609634,0.8068181818181818,0.7899860917941586,0.8243831640058055,0.8165249088699879,0.2,0,26,7.142645835876465
37,0.26084183734290456,valid,0.8141534391534392,0.8910143250912184,0.8743198802976906,0.8047255038220987,0.772,0.8403483309143687,0.7922235722964763,0.475,0,26,7.261577367782593
38,0.26153660580819965,valid,0.8187830687830688,0.8858154615049547,0.8673860356251659,0.8021660649819494,0.798132183908046,0.8062409288824384,0.8292831105710814,0.55,0,26,7.204561471939087
39,0.2581439611254906,valid,0.8115079365079365,0.8807321086259163,0.8599455191766309,0.7924253459577567,0.7953216374269005,0.7895500725689405,0.8298906439854192,0.1,0,26,7.109008073806763
40,0.25559007300406084,valid,0.8177910052910053,0.8926107536059622,0.8712687038822914,0.8041237113402062,0.7881533101045296,0.8207547169811321,0.8153098420413123,0.475,0,26,7.227524280548096
41,0.2589626820111761,valid,0.7542989417989417,0.7962153049041789,0.7974849536333309,0.7149980820866897,0.758340113913751,0.6763425253991292,0.8195625759416768,0.1,0,26,7.1693971157073975
42,0.260237457192674,valid,0.8207671957671958,0.8902710004638064,0.8693906937732834,0.80711743772242,0.7918994413407822,0.8229317851959361,0.818955042527339,0.25,0,26,7.077275991439819
43,0.2593015146498777,valid,0.8227513227513228,0.8901184557893791,0.871160960566369,0.8106007067137809,0.7899449035812672,0.8323657474600871,0.8147023086269745,0.30000000000000004,0,26,7.117426633834839
44,0.25247372200294416,valid,0.8220899470899471,0.8845227996973797,0.8700189709931292,0.8101623147494708,0.7884615384615384,0.8330914368650217,0.8128797083839611,0.275,0,26,7.237902879714966
45,0.24990084676110014,valid,0.8263888888888888,0.891294284248043,0.8739645543055505,0.8127006778451659,0.7992982456140351,0.8265602322206096,0.8262454434993924,0.325,0,26,7.105618715286255
46,0.25278784942870236,valid,0.826058201058201,0.8990167481707866,0.8770112486770449,0.823608316566063,0.7655860349127181,0.8911465892597968,0.7715674362089915,0.55,0,26,7.248091459274292
47,0.24557429856183577,valid,0.8366402116402116,0.9000012344655733,0.8854188306153162,0.823445318084346,0.8112676056338028,0.8359941944847605,0.8371810449574727,0.45000000000000007,0,26,7.2054901123046875
48,0.24009031756800048,valid,0.796957671957672,0.8655583223260153,0.845102268768936,0.7831920903954802,0.7627235213204951,0.8047895500725689,0.7904009720534629,0.25,0,26,7.1367528438568115
49,0.24034256959448055,valid,0.8035714285714286,0.8778597717649506,0.8517626930265774,0.7911392405063291,0.767394270122783,0.816400580551524,0.792831105710814,0.30000000000000004,0,26,7.153072118759155
50,0.2356866963055669,valid,0.781415343915344,0.8543546654862825,0.8402064550308542,0.7704063911080237,0.7388407728181212,0.8047895500725689,0.7618469015795869,0.25,0,26,7.1315062046051025
51,0.23976857260781892,valid,0.8101851851851852,0.882132786171164,0.8634752864893742,0.7990196078431373,0.7719891745602165,0.8280116110304789,0.7952612393681653,0.275,0,26,7.198185682296753
52,0.2412986259679405,valid,0.8244047619047619,0.9003706923764697,0.8845872114116514,0.8158168574401665,0.7813953488372093,0.8534107402031931,0.8001215066828675,0.45000000000000007,0,26,7.081151008605957
53,0.23615993042381442,valid,0.8141534391534392,0.8803251758672561,0.8619959759530257,0.7869598180439727,0.8238095238095238,0.7532656023222061,0.8651275820170109,0.1,0,26,7.184354305267334
54,0.23510962572633004,valid,0.8253968253968254,0.8947631325092982,0.8714447246145598,0.8152554233729881,0.7871621621621622,0.8454281567489115,0.8086269744835966,0.35,0,26,7.220461130142212
55,0.2343506302152361,valid,0.8068783068783069,0.8825871135902315,0.8590951584644786,0.8002735978112175,0.7567917205692108,0.8490566037735849,0.7715674362089915,0.125,0,26,7.085556745529175
56,0.23272432995085812,valid,0.843915343915344,0.9072248420324946,0.8858207570279932,0.8321479374110953,0.8158995815899581,0.8490566037735849,0.8396111786148238,0.25,1,56,7.739486932754517
57,0.2346684382278092,valid,0.8039021164021164,0.8719753389048879,0.8457578162062555,0.7920028060329709,0.7664630006788866,0.8193033381712627,0.7910085054678008,0.2,0,56,7.142523765563965
58,0.22729209916932241,valid,0.8270502645502645,0.903294612263181,0.8816926413971581,0.8193436960276339,0.7818061964403428,0.8606676342525399,0.798906439854192,0.17500000000000002,0,56,7.151297330856323
