epoch,train_loss,selection_split,selection_acc,selection_auc,selection_auprc,selection_f1,selection_precision,selection_recall,selection_specificity,selection_threshold,best_so_far,best_epoch_so_far,elapsed_sec
1,0.6273464610179266,valid,0.651702786377709,0.7084322168782857,0.6539092430197496,0.7189841798501249,0.5936748023375731,0.9113456464379948,0.40333165068147403,0.325,1,1,3.6085808277130127
2,0.6123334517081579,valid,0.6437048503611971,0.712071672977721,0.6627022370758127,0.7211790833838078,0.5840418574231524,0.9424802110817943,0.35790005047955575,0.30000000000000004,1,2,2.1924149990081787
3,0.608419410387675,valid,0.6452528379772962,0.7222309832591679,0.6662770767302693,0.7221660941604364,0.5851342501637197,0.9430079155672824,0.36042402826855124,0.275,1,3,2.15506911277771
4,0.6038393288850784,valid,0.6524767801857585,0.729216607907043,0.6789193121028171,0.7239188358270138,0.5918230563002681,0.9319261213720317,0.38515901060070673,0.35,1,4,2.1428065299987793
5,0.593652464946111,valid,0.6584107327141383,0.7259679354927218,0.6732311270317939,0.7227805695142379,0.5990975355779243,0.9108179419525066,0.4169611307420495,0.475,0,4,2.141258955001831
6,0.5850992908080419,valid,0.641124871001032,0.7342389907285438,0.6796819115569979,0.7236240810649712,0.5803059273422562,0.9609498680738786,0.33518425037859667,0.325,0,4,2.139813184738159
7,0.5768473982810974,valid,0.6873065015479877,0.7527893617333001,0.6906606855788939,0.7370932754880695,0.6257826887661142,0.8965699208443272,0.4871277132761232,0.4,1,7,2.1509687900543213
8,0.5687155385812124,valid,0.6689886480908153,0.7323608582323631,0.6751066378974847,0.7336516504048163,0.6047227926078029,0.9324538258575198,0.4169611307420495,0.5,0,7,2.1488232612609863
9,0.5634858866532644,valid,0.6800825593395253,0.7539867527793723,0.6847823311146418,0.7401508801341157,0.6138338547097671,0.9319261213720317,0.4391721352852095,0.325,1,9,2.1892764568328857
10,0.5577998409668604,valid,0.7027863777089783,0.7729943699978289,0.7064119688046286,0.7494562853414528,0.6374398816130226,0.9092348284960422,0.5053003533568905,0.5,1,10,2.1992075443267822
11,0.5545812115073204,valid,0.7113003095975232,0.7828444097554739,0.716973893421236,0.7559432933478735,0.6442379182156134,0.9145118733509234,0.5169106511862696,0.475,1,11,2.1848812103271484
