epoch,train_loss,selection_split,selection_acc,selection_auc,selection_auprc,selection_f1,selection_precision,selection_recall,selection_specificity,selection_threshold,best_so_far,best_epoch_so_far,elapsed_sec
1,0.6336559971173604,valid,0.6327445293962563,0.7037109027407012,0.6659243800931677,0.7123683667148462,0.5808080808080808,0.9209823812066203,0.3515625,0.30000000000000004,1,1,2.8848934173583984
2,0.623902310927709,valid,0.6311626680727657,0.7136850140149493,0.6758560646547378,0.7173166296221459,0.5770481144343304,0.9476775226908702,0.3223958333333333,0.30000000000000004,1,2,2.186101198196411
3,0.6159561067819596,valid,0.6253625098866332,0.6930774770866701,0.6414509731603918,0.7177755710029792,0.5714737507906389,0.9647624132407902,0.2942708333333333,0.30000000000000004,1,3,2.156210422515869
4,0.610322360197703,valid,0.614816767730029,0.7026508831642642,0.6655629265009531,0.705146316851665,0.5668397144711227,0.9327282434596903,0.3046875,0.17500000000000002,0,3,2.159806966781616
5,0.6097686409950256,valid,0.6274716583179542,0.7239743226107849,0.6823951089898708,0.7112201103617413,0.5761589403973509,0.9289909236518954,0.3333333333333333,0.35,0,3,2.147480010986328
6,0.6013903528451919,valid,0.639335618244134,0.7246510166399716,0.6803395253203897,0.7212713936430318,0.5831960461285008,0.9450080085424453,0.3411458333333333,0.325,1,6,2.1910862922668457
7,0.5926240454117457,valid,0.6377537569206433,0.7138311421071364,0.6744045905030893,0.7208451848841935,0.5818301082322073,0.9471436198611852,0.3359375,0.2,0,6,2.1326918601989746
8,0.5813437223434448,valid,0.6598998154495123,0.7523116324079017,0.7043237250648074,0.7298994974874372,0.600413365483982,0.9305926321409503,0.3958333333333333,0.475,1,8,2.1762609481811523
9,0.5765837997198104,valid,0.6540996572633799,0.7220932883965118,0.6818267129062061,0.7208510638297873,0.5992217898832685,0.9044313934863855,0.40989583333333335,0.1,0,8,2.155761241912842
10,0.5704429517189662,valid,0.6562088056947007,0.7318556460224239,0.6867187579558245,0.7333333333333333,0.5942989724892277,0.9572877736252002,0.3625,0.325,1,10,2.192375659942627
11,0.5676332096258799,valid,0.6949644081202214,0.7709907234383343,0.7192929314306457,0.7375822181900658,0.6411671924290221,0.8681260010678057,0.5260416666666666,0.45000000000000007,1,11,2.2106587886810303
12,0.5631243288516998,valid,0.7065647244924862,0.7618976908702616,0.693152827531773,0.7474472430224642,0.6499605367008682,0.8793379604911906,0.5380208333333333,0.5,1,12,2.198323965072632
13,0.5633457769950231,valid,0.684155022409702,0.7452012702438156,0.6901952500641921,0.7436884895164741,0.620492681185291,0.9279231179925254,0.44635416666666666,0.35,0,12,2.193770170211792
14,0.5609277079502741,valid,0.6744002109148431,0.7476435976152341,0.7020559341592734,0.7412528807877645,0.61,0.9444741057127602,0.4109375,0.17500000000000002,0,12,2.1637682914733887
15,0.5575006614128749,valid,0.7055101502768257,0.7825191315180636,0.7355577322420794,0.7529307675293077,0.6427492447129909,0.9087026161238655,0.5072916666666667,0.475,1,15,2.164039373397827
16,0.5538061281045278,valid,0.6852095966253625,0.7635483404520378,0.7085983750348324,0.7476754015215553,0.6187478139209514,0.9444741057127602,0.4322916666666667,0.2,0,15,2.1471712589263916
17,0.5546423897147179,valid,0.7147376746638545,0.7891670559708134,0.7389357360672485,0.7629272567922875,0.6469713861018209,0.9295248264815803,0.5052083333333334,0.45000000000000007,1,17,2.1822500228881836
18,0.5498106727997462,valid,0.71605589243343,0.7837479422495106,0.7271186917594674,0.7583576396679381,0.6540247678018576,0.9022957821676455,0.534375,0.5,0,17,2.1570682525634766
19,0.5475284993648529,valid,0.7028737147376747,0.7849830096547428,0.7360025561874846,0.7554784118029941,0.6363304093567251,0.9295248264815803,0.4817708333333333,0.325,0,17,2.1542818546295166
20,0.5443680057922999,valid,0.6767730029000791,0.7356467732247731,0.6767815007417993,0.7422203532380152,0.6122095039889005,0.9423384943940203,0.41770833333333335,0.35,0,17,2.180988073348999
21,0.5500247423847516,valid,0.7026100711837595,0.7871689524381561,0.7385272725784279,0.7542483660130719,0.6370997423629002,0.9241857981847303,0.4864583333333333,0.2,0,17,2.147266387939453
22,0.5451960593461991,valid,0.6730819931452676,0.7458480712760278,0.6769645877963429,0.7445405850844664,0.6061724253606172,0.9647624132407902,0.3885416666666667,0.325,0,17,2.170675754547119
23,0.547518108288447,valid,0.7070920116003163,0.7906669892329596,0.7420247900442903,0.7564130673098005,0.6417410714285714,0.9209823812066203,0.4984375,0.5750000000000001,0,17,2.1543385982513428
24,0.5436725243926048,valid,0.7055101502768257,0.7773336002847482,0.7270051790525955,0.7569096844396083,0.638868479059515,0.9284570208222104,0.48802083333333335,0.325,0,17,2.1690053939819336
25,0.5435340563456218,valid,0.706301080938571,0.7837660170848905,0.7379338819127157,0.7594991364421416,0.6375498368974266,0.9391350774159103,0.4791666666666667,0.275,0,17,2.1599159240722656
26,0.5427561591068903,valid,0.7173741102030056,0.8041602709556861,0.7532101854521913,0.7647058823529411,0.6492732016399553,0.9300587293112653,0.5098958333333333,0.325,1,26,2.159339666366577
27,0.5410942971706391,valid,0.6870551015027683,0.7694671538529987,0.7161230779379544,0.7435731259451286,0.624455732946299,0.9188467698878804,0.4609375,0.25,0,26,2.1639602184295654
28,0.5420101523399353,valid,0.7128921697864488,0.7859920025805303,0.7308407041260903,0.7547849583427156,0.6526479750778816,0.8948211425520555,0.5354166666666667,0.6,0,26,2.1474461555480957
29,0.536827885111173,valid,0.7044555760611653,0.7817299563979355,0.71771197155584,0.7561453121601044,0.6380323054331865,0.9279231179925254,0.4864583333333333,0.275,0,26,2.158844232559204
30,0.5363646929462751,valid,0.7065647244924862,0.7932583644776652,0.7435599865557007,0.7555457939819898,0.6417910447761194,0.9183128670581954,0.5,0.4,0,26,2.1523966789245605
31,0.536444328725338,valid,0.7263379910361192,0.8022296004627159,0.7542465670413453,0.7600554785020804,0.6701997554015491,0.8777362520021356,0.5786458333333333,0.475,0,26,2.1544315814971924
32,0.5322491129239401,valid,0.7139467440021091,0.8051627291332977,0.7568229707938466,0.758082497212932,0.6508422664624809,0.9076348104644955,0.525,0.325,0,26,2.168407678604126
33,0.5283427640795708,valid,0.7271289216978645,0.803763875912084,0.7609088513867694,0.7505422993492408,0.6840949033391915,0.8312867058195409,0.6255208333333333,0.55,0,26,2.1412858963012695
34,0.5220252220829328,valid,0.7205378328499868,0.8079580719434063,0.7670923569936802,0.7637093178778421,0.6555683122847302,0.9145755472504005,0.53125,0.42500000000000004,0,26,2.157809257507324
35,0.5173048615455628,valid,0.711046664909043,0.7925948789820252,0.7510160381304308,0.7589089309282886,0.6453423120089786,0.9209823812066203,0.50625,0.475,0,26,2.152484893798828
36,0.5145200257500012,valid,0.7371473767466385,0.825795709868304,0.7924335930209583,0.7683011852196142,0.6802469135802469,0.8825413774693006,0.5953125,0.525,1,36,2.160231113433838
37,0.5087732329964638,valid,0.7453203269180069,0.8384796560775938,0.8075776054690103,0.7774193548387097,0.6838265099310904,0.9006940736785904,0.59375,0.525,1,37,2.179832696914673
38,0.5006450091799101,valid,0.7403110993936198,0.8369780543691049,0.8099995040942221,0.7744446988779482,0.6780272654370489,0.9028296849973305,0.5817708333333333,0.325,0,37,2.154090166091919
39,0.5026279702782631,valid,0.7397838122857896,0.8355444418490835,0.8058428038100192,0.7748117727583846,0.6764940239043825,0.9065670048051254,0.5770833333333333,0.525,0,37,2.172722816467285
40,0.49948716511329017,valid,0.7540205641972054,0.8414631162128494,0.8119816338638548,0.7800047158688989,0.6984797297297297,0.8830752802989856,0.628125,0.475,1,40,2.1696114540100098
41,0.49460737109184266,valid,0.743211178486686,0.8407940692294003,0.813376678657652,0.77103902209685,0.6887862242755145,0.8756006406833956,0.6140625,0.5,0,40,2.151682138442993
42,0.4914427404602369,valid,0.7611389401529133,0.847359405588183,0.8197766426461047,0.7840800762631077,0.7081360309944038,0.8782701548318206,0.646875,0.525,1,42,2.1704249382019043
43,0.4889044945438703,valid,0.75322963353546,0.8513086180815091,0.8239951142059116,0.7830319888734353,0.6919295370749693,0.9017618793379605,0.6083333333333333,0.475,0,42,2.1523876190185547
44,0.48579582969347634,valid,0.7558660690746112,0.8540440358604734,0.8261187510870046,0.7828330206378987,0.698034295273944,0.8910838227442606,0.6239583333333333,0.5750000000000001,0,42,2.1603031158447266
45,0.48246792107820513,valid,0.7600843659372528,0.8540131696031322,0.830171652784327,0.7830233667143538,0.7074536837570012,0.8766684463427656,0.6463541666666667,0.42500000000000004,0,42,2.155642032623291
46,0.4818763047456741,valid,0.7466385446875824,0.8457047239277452,0.8207358460362204,0.7781112906949896,0.6855166802278275,0.8996262680192205,0.5973958333333333,0.325,0,42,2.1634607315063477
47,0.47837461084127425,valid,0.7645663063538096,0.8561760322121375,0.8315166469486686,0.7855942376950781,0.7137870855148342,0.8734650293646556,0.6583333333333333,0.6,1,47,2.1920218467712402
48,0.48206953356663385,valid,0.7640390192459794,0.8571947577415909,0.8323505726954403,0.7903490278753806,0.7040901502504173,0.9006940736785904,0.6307291666666667,0.375,1,48,2.165135145187378
49,0.4807752013206482,valid,0.7500659108884787,0.8522845201548319,0.8270088868931639,0.781868384721583,0.6870198139911039,0.9071009076348104,0.596875,0.35,0,48,2.1700680255889893
50,0.4802666996916135,valid,0.7534932770893752,0.8537948812066203,0.8255941407323526,0.7812865497076024,0.6952539550374688,0.8916177255739456,0.61875,0.475,0,48,2.1527554988861084
51,0.475803775091966,valid,0.7666754547851306,0.8573689713472147,0.8318011498439616,0.7887323943661971,0.7132987910189983,0.8820074746396156,0.6541666666666667,0.375,0,48,2.1559555530548096
52,0.47354482462008796,valid,0.7748484049564988,0.8576937622352732,0.8363599927077224,0.7899655681259223,0.7323301413588691,0.8574479444741057,0.6942708333333333,0.45000000000000007,0,48,2.150681257247925
53,0.4709262082974116,valid,0.770366464539942,0.8577115589962626,0.8380818791812982,0.7893591293833132,0.7214854111405835,0.8713294180459157,0.671875,0.42500000000000004,0,48,2.15356183052063
54,0.471464508275191,valid,0.7766939098339045,0.8647635255383521,0.8420799241264009,0.7949648995400629,0.7271922054915855,0.8766684463427656,0.6791666666666667,0.4,1,54,2.1921286582946777
