epoch,train_loss,selection_split,selection_acc,selection_auc,selection_auprc,selection_f1,selection_precision,selection_recall,selection_specificity,selection_threshold,best_so_far,best_epoch_so_far,elapsed_sec
1,0.6514610867751273,valid,0.5613354037267081,0.6350328947368422,0.6603813045760426,0.7052686489306208,0.5464834276475343,0.9941176470588236,0.07730263157894737,0.1,1,1,4.498074054718018
2,0.6422325843258908,valid,0.6273291925465838,0.6700754643962848,0.6774285681373801,0.7247706422018348,0.5939849624060151,0.9294117647058824,0.2894736842105263,0.30000000000000004,1,2,0.7081995010375977
3,0.6404104828834534,valid,0.6273291925465838,0.6762746710526316,0.6882665992477196,0.7228637413394919,0.5950570342205324,0.9205882352941176,0.2993421052631579,0.325,0,2,0.6961061954498291
4,0.6385217214885511,valid,0.625,0.6742429373065015,0.6835050484605841,0.723526044647968,0.5923149015932521,0.9294117647058824,0.2845394736842105,0.30000000000000004,0,2,0.6897304058074951
5,0.6370891614964134,valid,0.6343167701863354,0.6752128482972137,0.6793137713947379,0.733446519524618,0.5961361545538179,0.9529411764705882,0.2779605263157895,0.25,1,5,0.7156884670257568
6,0.6344748264864871,valid,0.6226708074534162,0.6686072948916408,0.6758781552408497,0.7216494845360825,0.5909943714821764,0.9264705882352942,0.28289473684210525,0.25,0,5,0.6886913776397705
7,0.6314207064478021,valid,0.6257763975155279,0.6872387770897833,0.6932894271976803,0.7295173961840629,0.5898366606170599,0.9558823529411765,0.2565789473684211,0.325,0,5,0.6935698986053467
8,0.633407755901939,valid,0.6475155279503105,0.6795472136222911,0.6826329193283804,0.736046511627907,0.6086538461538461,0.9308823529411765,0.3305921052631579,0.30000000000000004,1,8,0.7103981971740723
9,0.6290626996441891,valid,0.6350931677018633,0.6857778637770899,0.6914895080960196,0.7323462414578588,0.5975836431226765,0.9455882352941176,0.2878289473684211,0.275,0,8,0.7093501091003418
10,0.6316655936994051,valid,0.6187888198757764,0.6632111068111455,0.6535872491085168,0.722755505364201,0.5866177818515124,0.9411764705882353,0.2582236842105263,0.275,0,8,0.6934802532196045
11,0.6242722272872925,valid,0.6428571428571429,0.6783523606811145,0.6791982915902205,0.7383390216154722,0.6020408163265306,0.9544117647058824,0.2944078947368421,0.2,1,11,0.7065527439117432
12,0.6249422148654336,valid,0.6381987577639752,0.6882135255417956,0.6877938872363825,0.7331042382588774,0.600375234521576,0.9411764705882353,0.2993421052631579,0.4,0,11,0.6922731399536133
13,0.6248848218666879,valid,0.6374223602484472,0.6814023800309597,0.6871898988259479,0.7283304246655032,0.602502406159769,0.9205882352941176,0.3207236842105263,0.35,0,11,0.6904633045196533
14,0.6235584804886266,valid,0.6211180124223602,0.6900251547987616,0.6904960207731308,0.7330415754923414,0.5836236933797909,0.9852941176470589,0.2138157894736842,0.225,0,11,0.705390453338623
15,0.6181917661114743,valid,0.6490683229813664,0.6904024767801857,0.6899768219017144,0.7393310265282583,0.6081593927893738,0.9426470588235294,0.3207236842105263,0.17500000000000002,1,15,0.7103979587554932
