epoch,train_loss,selection_split,selection_acc,selection_auc,selection_auprc,selection_f1,selection_precision,selection_recall,selection_specificity,selection_threshold,best_so_far,best_epoch_so_far,elapsed_sec
1,0.6555347944560804,valid,0.642209398186315,0.7345699313731938,0.6307274684870743,0.6882183908045977,0.5702380952380952,0.8677536231884058,0.45385779122541603,0.45000000000000007,1,1,4.48709511756897
2,0.6093387603759766,valid,0.7048639736191261,0.7502411804687672,0.6456168045527279,0.6854130052724078,0.6655290102389079,0.7065217391304348,0.7034795763993948,0.5,0,1,2.1613550186157227
3,0.5832460208943016,valid,0.6331409727947238,0.7676555065886118,0.7176937762784044,0.6898954703832753,0.5605889014722537,0.8967391304347826,0.4130105900151286,0.325,1,3,2.225701332092285
4,0.5663254104162517,valid,0.7131079967023908,0.7626729373588547,0.6864787905471852,0.7095158597662772,0.6578947368421053,0.769927536231884,0.6656580937972768,0.55,1,4,2.4443769454956055
5,0.5531599333411769,valid,0.6669414674361088,0.7126115459668048,0.618382836975967,0.6985074626865672,0.5939086294416244,0.8478260869565217,0.5158850226928896,0.275,0,4,2.1459786891937256
6,0.5449018792102212,valid,0.7073371805441055,0.7632841105922077,0.6789709545797872,0.7193675889328063,0.638148667601683,0.8242753623188406,0.6096822995461422,0.30000000000000004,1,6,2.2203211784362793
7,0.5468049143490038,valid,0.7147568013190437,0.776661404547348,0.7362421419958836,0.7163934426229508,0.6541916167664671,0.7916666666666666,0.6505295007564297,0.325,0,6,2.1552071571350098
8,0.5432927357523065,valid,0.7032151690024732,0.7690422942840228,0.7327969369873136,0.6943972835314092,0.6533546325878594,0.7409420289855072,0.6717095310136157,0.375,0,6,2.157526731491089
9,0.5369582489917153,valid,0.6248969497114591,0.753014755859589,0.7369339824055641,0.6846846846846847,0.5544332210998878,0.894927536231884,0.39939485627836613,0.30000000000000004,0,6,2.1512203216552734
10,0.5322041699760839,valid,0.6694146743610883,0.7682858646319806,0.7326737251470203,0.700074794315632,0.5961783439490446,0.8478260869565217,0.5204236006051437,0.25,0,6,2.150005578994751
11,0.5287648972712065,valid,0.7246496290189612,0.7685434892236181,0.6988371177807273,0.7382445141065831,0.6505524861878453,0.8532608695652174,0.6172465960665658,0.5750000000000001,1,11,2.2149271965026855
12,0.5273389737857016,valid,0.6718878812860676,0.7721529741936898,0.7302076699577659,0.6952526799387443,0.6021220159151194,0.822463768115942,0.546142208774584,0.325,0,11,2.1503746509552
13,0.5375609884136602,valid,0.6999175597691674,0.7529352759323817,0.6670010263100908,0.7151799687010955,0.6294765840220385,0.8278985507246377,0.5930408472012103,0.375,0,11,2.1471903324127197
14,0.5246976661054712,valid,0.6999175597691674,0.7566434256396763,0.6962966750316314,0.7101910828025477,0.6335227272727273,0.8079710144927537,0.6096822995461422,0.525,0,11,2.1541974544525146
15,0.5225699591009241,valid,0.7147568013190437,0.7721748996908505,0.7179477238678122,0.7027491408934707,0.6683006535947712,0.7409420289855072,0.6928895612708018,0.375,0,11,2.152238368988037
16,0.5210472941398621,valid,0.674361088211047,0.7784373698173607,0.7356572904134262,0.7093451066961001,0.59727385377943,0.8731884057971014,0.5083207261724659,0.25,0,11,2.144927501678467
17,0.5195740367236891,valid,0.642209398186315,0.7722626016794931,0.7582149503793769,0.693069306930693,0.568445475638051,0.8876811594202898,0.4372163388804841,0.275,0,11,2.1577272415161133
18,0.5274814869228163,valid,0.6281945589447651,0.7578712534806726,0.7421423437754274,0.6874566874566874,0.5566778900112234,0.8985507246376812,0.40242057488653554,0.275,0,11,2.141818046569824
19,0.5112825334072113,valid,0.6108821104699094,0.762311166655704,0.7486833341939789,0.6840696117804551,0.5424628450106157,0.9257246376811594,0.34795763993948564,0.15000000000000002,0,11,2.148284435272217
20,0.5160909577419883,valid,0.7304204451772465,0.7785497379903088,0.7137215511764918,0.7188306104901118,0.6841243862520459,0.7572463768115942,0.708018154311649,0.475,0,11,2.14197039604187
21,0.5105489163022292,valid,0.7221764220939819,0.7734849481461992,0.69831273525814,0.7207953603976802,0.6641221374045801,0.7880434782608695,0.6671709531013615,0.375,0,11,2.14762020111084
22,0.5047693001596552,valid,0.6570486397361912,0.7651806660966038,0.7465148896713093,0.6895522388059702,0.5862944162436549,0.8369565217391305,0.5068078668683812,0.45000000000000007,0,11,2.1390979290008545
23,0.5063043519070274,valid,0.6702390766694146,0.7774425003836962,0.7469212713902371,0.6992481203007519,0.5976863753213367,0.842391304347826,0.5264750378214826,0.25,0,11,2.3315932750701904
24,0.5072569141262456,valid,0.6908491343775762,0.7869225372185314,0.7551226568853047,0.7117601844734819,0.6181575433911882,0.8387681159420289,0.56732223903177,0.225,0,11,2.145233631134033
25,0.5072110609004372,valid,0.674361088211047,0.7882901401039271,0.748778631960964,0.7089167280766396,0.5975155279503106,0.8713768115942029,0.5098335854765507,0.325,0,11,2.140747547149658
26,0.5015824076376463,valid,0.7040395713107996,0.7778549737990309,0.7281392687454051,0.705012325390304,0.6451127819548872,0.7771739130434783,0.642965204236006,0.2,0,11,2.1412291526794434
27,0.49883194973594264,valid,0.6826051112943117,0.7817152316428775,0.7431981045729678,0.7081122062168309,0.6088657105606258,0.8460144927536232,0.546142208774584,0.275,0,11,2.158460855484009
28,0.5036045328566903,valid,0.7279472382522671,0.7884737661426473,0.7278398498741996,0.7259136212624585,0.6702453987730062,0.7916666666666666,0.6747352496217852,0.475,0,11,2.1372554302215576
29,0.49987600508489105,valid,0.6578730420445177,0.7752979126926703,0.7558980919214218,0.7033595425303788,0.5808736717827627,0.8913043478260869,0.4629349470499244,0.17500000000000002,0,11,2.148376226425171
30,0.4986528079760702,valid,0.6949711459192086,0.782948540858164,0.7330419836888189,0.7127329192546584,0.623641304347826,0.8315217391304348,0.5809379727685325,0.375,0,11,2.144946575164795
31,0.4931090176105499,valid,0.6545754328112119,0.7655040671797233,0.7456480671515229,0.6943836615609045,0.5811965811965812,0.8623188405797102,0.481089258698941,0.275,0,11,2.1510846614837646
32,0.49801018834114075,valid,0.7040395713107996,0.785823521673354,0.7297441425976079,0.7157561361836896,0.6357243319268636,0.8188405797101449,0.6081694402420574,0.2,0,11,2.1432583332061768
33,0.49014852392046077,valid,0.7238252267106348,0.783899559297507,0.7249133982954967,0.7317854283426741,0.6556671449067432,0.8278985507246377,0.6369137670196672,0.375,0,11,2.1453964710235596
34,0.49372826124492447,valid,0.72959604286892,0.7726243723826438,0.7143191716177534,0.7307060755336617,0.6681681681681682,0.8061594202898551,0.6656580937972768,0.45000000000000007,0,11,2.1446337699890137
35,0.48695759239949676,valid,0.708161582852432,0.7915214102479773,0.7540454031332368,0.7126623376623377,0.6455882352941177,0.7952898550724637,0.6354009077155824,0.4,0,11,2.150595188140869
36,0.4954630638423719,valid,0.708161582852432,0.751992479554474,0.6816471019311162,0.7314112291350531,0.6292428198433421,0.8731884057971014,0.5703479576399395,0.375,0,11,2.153399705886841
37,0.4974479392955178,valid,0.6636438582028029,0.7608750465916816,0.756483171465844,0.6842105263157895,0.5972972972972973,0.8007246376811594,0.5491679273827534,0.35,0,11,2.151123523712158
38,0.48909775834334523,valid,0.6916735366859027,0.7871089039443969,0.7538433782948005,0.7082683307332294,0.6219178082191781,0.822463768115942,0.5824508320726173,0.30000000000000004,0,11,2.143542528152466
39,0.48934553642021983,valid,0.7386644682605111,0.7815206428555768,0.7110887452354175,0.7324894514767932,0.6856240126382307,0.7862318840579711,0.6989409984871406,0.5,0,11,2.146177053451538
40,0.48521109788041367,valid,0.7048639736191261,0.7553744874915039,0.6776150952439883,0.7203125,0.6332417582417582,0.8351449275362319,0.5960665658093798,0.35,0,11,2.1445164680480957
41,0.4851594520242591,valid,0.6801319043693322,0.7842722927492382,0.7493930051175418,0.7078313253012049,0.6056701030927835,0.8514492753623188,0.5370650529500757,0.275,0,11,2.1519317626953125
42,0.483466331896029,valid,0.7122835943940643,0.7927930890832949,0.759320958579198,0.7232355273592387,0.6431593794076164,0.8260869565217391,0.6172465960665658,0.55,0,11,2.150739908218384
43,0.4884177901242909,valid,0.731244847485573,0.7895864851235502,0.7410445207855627,0.7278797996661102,0.6749226006191951,0.7898550724637681,0.6822995461422088,0.42500000000000004,0,11,2.1519415378570557
44,0.4929390659457759,valid,0.7353668590272052,0.797696178385845,0.7453204895684121,0.7396593673965937,0.6696035242290749,0.8260869565217391,0.659606656580938,0.475,1,44,2.214923858642578
45,0.48693336467993886,valid,0.6933223413025557,0.7771821351049135,0.7066190041219915,0.7215568862275449,0.6147959183673469,0.8731884057971014,0.5431164901664145,0.2,0,44,2.150571346282959
46,0.4821708343530956,valid,0.7304204451772465,0.7901017343068255,0.7507752004200463,0.7326246933769419,0.6676602086438153,0.8115942028985508,0.6626323751891074,0.325,0,44,2.1485700607299805
47,0.47867467999458313,valid,0.7147568013190437,0.7863661777280799,0.7314659834088157,0.7262658227848101,0.6446629213483146,0.8315217391304348,0.6172465960665658,0.35,0,44,2.1528375148773193
48,0.48138669446895,valid,0.7213520197856554,0.7940702492929027,0.744196404972539,0.7296,0.6532951289398281,0.8260869565217391,0.6338880484114977,0.4,0,44,2.1459624767303467
49,0.4804430290272361,valid,0.7023907666941468,0.7903346927141572,0.7585283627763925,0.7146245059288537,0.6339410939691444,0.8188405797101449,0.6051437216338881,0.45000000000000007,0,44,2.1523847579956055
50,0.4808920747355411,valid,0.7114591920857378,0.7810903549737991,0.7574027231481406,0.7088186356073212,0.6553846153846153,0.7717391304347826,0.6611195158850227,0.45000000000000007,0,44,2.1467597484588623
51,0.4798768194098222,valid,0.7394888705688376,0.7771053958648513,0.7073378755323432,0.7357859531772575,0.6832298136645962,0.7971014492753623,0.6913767019667171,0.375,0,44,2.153881788253784
52,0.47897051980620936,valid,0.7213520197856554,0.791340524896402,0.7361391703237383,0.7243066884176182,0.658753709198813,0.8043478260869565,0.6520423600605144,0.4,0,44,2.162790536880493
