epoch,train_loss,selection_split,selection_acc,selection_auc,selection_auprc,selection_f1,selection_precision,selection_recall,selection_specificity,selection_threshold,best_so_far,best_epoch_so_far,elapsed_sec
1,0.6724967102209727,valid,0.5030959752321982,0.5514839524293453,0.5259864835020955,0.6598375132462028,0.4958853198831962,0.9857519788918205,0.04139323573952549,0.45000000000000007,1,1,19.088582038879395
2,0.6409741630156834,valid,0.5492776057791537,0.6108897321386949,0.5557608362892792,0.671183888575193,0.521650087770626,0.9408970976253298,0.1746592629984856,0.42500000000000004,1,2,7.766103982925415
3,0.5955797677238782,valid,0.6106811145510835,0.7144901631461948,0.7103700224349088,0.6957047791893527,0.5629895561357703,0.9102902374670184,0.32407874810701665,0.4,1,3,7.7143754959106445
4,0.477456704278787,valid,0.7564499484004128,0.8413218451276574,0.8160909076389947,0.7782996712071395,0.7012272534913246,0.8744063324538258,0.6436143361938415,0.5750000000000001,1,4,7.5826733112335205
5,0.43267552653948466,valid,0.772703818369453,0.8564864897262782,0.8340641277246326,0.7852790640994395,0.7296195652173914,0.850131926121372,0.6986370519939424,0.525,1,5,7.628064393997192
6,0.4023613651593526,valid,0.782249742002064,0.8734953030038665,0.856429910778944,0.7985680190930787,0.7289760348583878,0.8828496042216358,0.6860171630489652,0.375,1,6,7.6056835651397705
7,0.38088178584973015,valid,0.7572239422084623,0.8396353751137122,0.815934609467772,0.7769613652524295,0.705249569707401,0.8649076517150396,0.6542150429076224,0.4,0,6,7.501997232437134
8,0.36584812800089517,valid,0.7698658410732714,0.8502639188384641,0.8133113015919311,0.7868068833652008,0.7190913062472696,0.8686015831134565,0.6754164563351842,0.42500000000000004,0,6,7.538850784301758
9,0.3530137285590172,valid,0.7951496388028896,0.8762209326331015,0.8581174382921639,0.8004022121669181,0.7642822851656265,0.8401055408970977,0.7521453811206461,0.725,1,9,7.623121738433838
10,0.34787051876386005,valid,0.7613519091847265,0.8465461461722777,0.8193857177916826,0.7835244558857946,0.7039529015979815,0.883377308707124,0.6446239273094396,0.325,0,9,7.520865201950073
11,0.3382013236482938,valid,0.772703818369453,0.8549489277423118,0.8194562056675723,0.7902880266603189,0.7198612315698178,0.8759894459102903,0.673902069661787,0.55,0,9,7.577198028564453
12,0.32843462824821473,valid,0.7936016511867905,0.8799985082558714,0.8584156719004384,0.8075072184793071,0.7421494913754976,0.8854881266490765,0.7057041898031298,0.8,1,12,7.622720241546631
13,0.3224238385756811,valid,0.7711558307533539,0.8594883584021822,0.8416014280905648,0.7894611915499644,0.7174288179465056,0.8775725593667546,0.6693589096415952,0.35,0,12,7.56733775138855
14,0.3172428471346696,valid,0.782249742002064,0.8640887907415966,0.8222286946938531,0.8003784295175024,0.72524646378054,0.8928759894459103,0.6764260474507824,0.525,0,12,7.532191038131714
15,0.3136639207601547,valid,0.7930856553147575,0.876024208876144,0.8550042551428136,0.801583374567046,0.7545412203074057,0.8548812664907651,0.7339727410398789,0.75,0,12,7.500283241271973
16,0.3019526094198227,valid,0.7678018575851393,0.8594741069180964,0.834502540123449,0.7895229186155285,0.7089458210835783,0.8907651715039577,0.6501766784452296,0.475,0,12,7.5468034744262695
17,0.2952334605157375,valid,0.7871517027863777,0.8770696284891163,0.8568121712468766,0.8022057060656916,0.7350615114235501,0.8828496042216358,0.6956082786471479,0.325,0,12,7.501736879348755
18,0.2943754218518734,valid,0.7665118679050568,0.8607293030491516,0.8536341361574082,0.7829215639242024,0.7176781002638523,0.8612137203166227,0.6759212518929834,0.35,0,12,7.540297985076904
19,0.28143381973107656,valid,0.7634158926728586,0.8469046975288992,0.8331439366321112,0.7709218086435173,0.7319734345351043,0.8142480211081794,0.7147905098435133,0.30000000000000004,0,12,7.528217554092407
20,0.28151794771353406,valid,0.8065015479876161,0.8819289849879928,0.8602576909880709,0.802735402419779,0.800209753539591,0.8052770448548813,0.8076728924785462,0.725,0,12,7.495604515075684
21,0.27467542414863905,valid,0.7696078431372549,0.8561324668786187,0.8346689916214448,0.7870259957071309,0.7180156657963447,0.8707124010554089,0.6728924785461888,0.25,0,12,7.545526027679443
22,0.2671083922187487,valid,0.7567079463364293,0.8514657052020581,0.8315529642230948,0.7796214068707642,0.6996644295302014,0.8802110817941953,0.6385663806158506,0.275,0,12,7.528878211975098
23,0.2692938340206941,valid,0.793859649122807,0.8738795603084182,0.8648113758919893,0.7953905249679898,0.772636815920398,0.8195250659630607,0.7693084300858153,0.525,0,12,7.548041582107544
24,0.2649474369982878,valid,0.7830237358101135,0.8677648744870464,0.8412869530872094,0.7964173323650448,0.7356887298747764,0.8680738786279684,0.701665825340737,0.275,0,12,7.544551610946655
25,0.25595400432745613,valid,0.7894736842105263,0.8678735587021293,0.8467988997741505,0.7946653246099648,0.7594997594997595,0.833245382585752,0.7476022211004543,0.5750000000000001,0,12,7.553940773010254
26,0.2570770504573981,valid,0.8010835913312694,0.889282351201853,0.874974557612701,0.810611643330877,0.7582720588235294,0.8707124010554089,0.7344775365976779,0.675,1,26,7.99685525894165
27,0.2537470603982607,valid,0.7897316821465429,0.8778121707674091,0.8536908230556645,0.8038507821901324,0.7389380530973452,0.8812664907651715,0.7021706208985361,0.75,0,26,7.712796449661255
28,0.2435397225121657,valid,0.7868937048503611,0.8704473500897043,0.8571069848061665,0.7925665494726268,0.7561092477240058,0.8327176781002639,0.7430590610802625,0.625,0,26,7.720184803009033
29,0.24151612545053164,valid,0.7866357069143447,0.8733451962509274,0.8640852722852944,0.7917401158398388,0.7572254335260116,0.8295514511873351,0.7455830388692579,0.475,0,26,7.685089826583862
30,0.24166597823301952,valid,0.7964396284829721,0.8858429486453765,0.8772164368475428,0.8090050835148874,0.7473166368515206,0.8817941952506596,0.7147905098435133,0.25,0,26,7.694890975952148
31,0.23757867887616158,valid,0.7886996904024768,0.8763276189765837,0.8628128244966249,0.8016468878663114,0.7408236347358997,0.8733509234828496,0.7077233720343261,0.6,0,26,7.69198751449585
32,0.23745147933562596,valid,0.7484520123839009,0.8275903404240016,0.8117804258928273,0.7595561035758323,0.7129629629629629,0.8126649076517151,0.6870267541645634,0.2,0,26,7.707103967666626
33,0.23499977961182594,valid,0.7941176470588235,0.8766653924685569,0.8598026475156852,0.7984848484848485,0.7656174334140435,0.8343007915567282,0.7556789500252398,0.625,0,26,7.731078863143921
34,0.23285480067133904,valid,0.8093395252837977,0.8914372555104628,0.874833283923978,0.8167617158442847,0.7703461178671656,0.8691292875989446,0.7521453811206461,0.7000000000000001,1,34,7.820703983306885
35,0.22690364768107732,valid,0.8003095975232198,0.8876213207529577,0.8679297455369659,0.8125,0.7510076130765786,0.8849604221635884,0.7193336698637052,0.35,0,34,7.732061386108398
36,0.22571606983741124,valid,0.7734778121775026,0.8533378440834365,0.8380729720198672,0.7792860734037205,0.7441190590494479,0.8179419525065963,0.7309439676930843,0.2,0,34,7.739511251449585
37,0.222647159298261,valid,0.8147574819401445,0.896571918715928,0.8858011142044586,0.8201402805611222,0.7806390081068193,0.8638522427440634,0.767794043412418,0.65,1,37,7.828736305236816
38,0.22255757103363674,valid,0.7961816305469557,0.8813673166852913,0.8647216380748177,0.8073170731707318,0.7505668934240363,0.8733509234828496,0.7223624432104997,0.525,0,37,7.750495433807373
39,0.21674187257885932,valid,0.814499484004128,0.8822322618969924,0.8696373940602863,0.8142598811676569,0.7975708502024291,0.8316622691292876,0.7980817768803634,0.725,0,37,7.770682334899902
40,0.21882147292296092,valid,0.7554179566563467,0.8377397945388846,0.8308453063723327,0.7638266068759342,0.7234544596507787,0.8089709762532982,0.7041898031297325,0.325,0,37,7.753454208374023
41,0.2175340118507544,valid,0.7708978328173375,0.847203179546057,0.8276295757053606,0.774390243902439,0.7466927976482116,0.804221635883905,0.7390206966178697,0.1,0,37,7.754412412643433
42,0.21263060172398884,valid,0.8121775025799793,0.8980847070920446,0.8790238226436513,0.8218306412139011,0.7663167503423094,0.8860158311345646,0.7415446744068652,0.5750000000000001,1,42,7.854053020477295
43,0.2186225411792596,valid,0.7794117647058824,0.8730405874275272,0.8565490302524797,0.7976331360946746,0.723175965665236,0.8891820580474934,0.674406865219586,0.475,0,42,7.753344535827637
44,0.20932777325312296,valid,0.8062435500515995,0.8886887169535389,0.8761863980354293,0.8153430046717483,0.7633517495395948,0.8749340369393139,0.740535083291267,0.5750000000000001,0,42,7.749029874801636
45,0.20933592865864437,valid,0.7990196078431373,0.8923560100639453,0.8769967856271873,0.8137700215156586,0.7438811188811189,0.8981530343007915,0.7041898031297325,0.65,0,42,7.7381815910339355
46,0.20377301499247552,valid,0.7737358101135191,0.8616007746414153,0.8468141312467092,0.7890305508780371,0.7250221043324492,0.8654353562005277,0.6860171630489652,0.25,0,42,7.7233264446258545
47,0.20619036902983984,valid,0.8289473684210527,0.899556206121745,0.8847570782251967,0.8309104820198929,0.8040473840078973,0.8596306068601584,0.7995961635537607,0.65,1,47,7.7763073444366455
48,0.1992850720882416,valid,0.8191434468524251,0.8963107303019849,0.8817071280320348,0.8243547982961664,0.7848282442748091,0.8680738786279684,0.7723372034326098,0.7000000000000001,0,47,7.716498613357544
49,0.19925764401753743,valid,0.8186274509803921,0.8961540971684832,0.881713808378376,0.8246445497630331,0.781929990539262,0.8722955145118734,0.7672892478546188,0.65,0,47,7.758540630340576
50,0.19711638589700062,valid,0.8031475748194015,0.8874593599618541,0.874442135325068,0.8124846399606783,0.7603495860165593,0.8722955145118734,0.7370015143866734,0.225,0,47,7.69492244720459
51,0.20143012975653013,valid,0.8181114551083591,0.8905619213664377,0.8822100671112821,0.8205650292695342,0.7925270403146509,0.8506596306068601,0.7869762746087834,0.5,0,47,7.704169511795044
52,0.19353767136732739,valid,0.7907636738906089,0.8735188778887559,0.866800080859355,0.7990086741016109,0.7532710280373832,0.8506596306068601,0.7334679454820797,0.225,0,47,7.743540525436401
53,0.19068451970815659,valid,0.8173374613003096,0.8959756206388128,0.8843838981093661,0.8227341011517276,0.7827536922343973,0.867018469656992,0.7698132256436143,0.75,0,47,7.720632076263428
54,0.1888233721256256,valid,0.8090815273477813,0.8883988923799846,0.8745133584837773,0.8142570281124498,0.7764480612733365,0.8559366754617415,0.7642604745078243,0.65,0,47,7.698273658752441
55,0.1882945736249288,valid,0.8013415892672858,0.8892387976009558,0.8791369964968753,0.8139197680038666,0.7507802050824788,0.8886543535620053,0.717819283190308,0.5,0,47,7.559894323348999
56,0.19602849545578163,valid,0.7956656346749226,0.8714437552527374,0.8545225332704918,0.7991886409736308,0.7691556857003417,0.8316622691292876,0.7612317011610298,0.42500000000000004,0,47,7.550217151641846
57,0.18810923372705776,valid,0.7868937048503611,0.8701275574421382,0.8640717893556535,0.7921489682939105,0.757094757094757,0.8306068601583113,0.7450782433114589,0.55,0,47,7.588744401931763
58,0.18343150566021602,valid,0.8111455108359134,0.8838420136414673,0.8727331614809122,0.8119218910585817,0.7911867801702553,0.8337730870712401,0.7895002523977789,0.625,0,47,7.578200578689575
59,0.18502753575642902,valid,0.8194014447884417,0.8924987912876814,0.8801094765630427,0.8199588477366255,0.7997992975413949,0.8411609498680739,0.7985865724381626,0.65,0,47,7.498027801513672
60,0.18398145983616512,valid,0.792311661506708,0.8688631711017196,0.8540217185509601,0.7975861201910989,0.7617675312199808,0.8369393139841689,0.7496214033316507,0.325,0,47,7.4676690101623535
61,0.17433467842638492,valid,0.8111455108359134,0.8820571151533234,0.8745263086610164,0.809573361082206,0.7983581323755772,0.8211081794195251,0.8016153457849571,0.2,0,47,7.45412015914917
62,0.179270276799798,valid,0.7577399380804953,0.8548222626828219,0.8479247021414457,0.7774354112348898,0.7056798623063684,0.8654353562005277,0.6547198384654215,0.15000000000000002,0,47,7.4685447216033936
63,0.17268139844139416,valid,0.8041795665634675,0.8866418309028115,0.8714799219077172,0.8102974256435891,0.7697056030389364,0.8554089709762533,0.7551741544674407,0.45000000000000007,0,47,7.45223069190979
64,0.17705149240791798,valid,0.7889576883384933,0.8720323282263296,0.8684185074877041,0.7979249011857708,0.7501161170459824,0.8522427440633246,0.7284199899040888,0.45000000000000007,0,47,7.466705799102783
65,0.1724379496028026,valid,0.8188854489164087,0.9046032293596556,0.8949374974355371,0.8230846774193549,0.7877472262421611,0.8617414248021108,0.7778899545683998,0.5750000000000001,0,47,7.464146375656128
66,0.1710056168337663,valid,0.8077915376676986,0.8850493940455434,0.8725668221794236,0.8110575703778848,0.78076171875,0.8437994722955146,0.773346794548208,0.725,0,47,7.468507766723633
67,0.16954022757709025,valid,0.8307533539731682,0.9037787743457303,0.8922954044818421,0.8337557019766852,0.8020477815699659,0.8680738786279684,0.7950530035335689,0.45000000000000007,1,67,7.548327684402466
68,0.16823415209849676,valid,0.8018575851393189,0.883374511686883,0.8749208892568188,0.8114874815905744,0.7586048646167967,0.8722955145118734,0.7344775365976779,0.275,0,67,7.485968589782715
69,0.1628610160201788,valid,0.8134674922600619,0.8899391181927521,0.8827031509738301,0.8137078072661685,0.7950654582074521,0.833245382585752,0.7945482079757699,0.45000000000000007,0,67,7.477362394332886
70,0.16473097403844197,valid,0.8183694530443757,0.8982603866014739,0.8896986426846177,0.8244389027431421,0.7815602836879433,0.8722955145118734,0.7667844522968198,0.525,0,67,7.4997923374176025
71,0.166514906535546,valid,0.8132094943240454,0.8885727072092531,0.8842115107402295,0.8157760814249364,0.7877149877149877,0.845910290237467,0.7819283190307925,0.525,0,67,7.492166519165039
72,0.1633804695059856,valid,0.8132094943240454,0.8905411435017894,0.8787470713959508,0.8150229943791517,0.7899950470529965,0.841688654353562,0.7859666834931852,0.375,0,67,7.472046852111816
73,0.16475706857939562,valid,0.7858617131062952,0.872537656549889,0.8704264789584963,0.7979552093476144,0.7406235878897425,0.8649076517150396,0.7102473498233216,0.17500000000000002,0,67,7.49543571472168
74,0.1680940152456363,valid,0.7830237358101135,0.870649001929944,0.8661942559500639,0.7936196319018405,0.7417431192660551,0.8532981530343008,0.7158001009591115,0.275,0,67,7.473273038864136
75,0.160532708093524,valid,0.8088235294117647,0.8895695119466063,0.87794148980976,0.814610958218664,0.774500475737393,0.8591029023746701,0.7607269056032306,0.275,0,67,7.491034746170044
76,0.1594568844884634,valid,0.7902476780185759,0.8826908400250933,0.8697269252266073,0.8039546660236315,0.7402309058614565,0.8796833773087072,0.7046945986875316,0.15000000000000002,0,67,7.485310316085815
77,0.1568930805971225,valid,0.8297213622291022,0.9027297585638765,0.8890375629999652,0.8309426229508197,0.8073668491786958,0.8559366754617415,0.8046441191317516,0.875,0,67,7.492984056472778
