epoch,train_loss,selection_split,selection_acc,selection_auc,selection_auprc,selection_f1,selection_precision,selection_recall,selection_specificity,selection_threshold,best_so_far,best_epoch_so_far,elapsed_sec
1,0.662590931500158,valid,0.5677110993096123,0.649396179512324,0.6225678789013334,0.6903765690376569,0.5384159003263127,0.9618441971383148,0.17189994678020223,0.25,1,1,9.270260334014893
2,0.5482088548521842,valid,0.7838555496548062,0.8629081136359726,0.8573768006637537,0.7978142076502732,0.750818139317438,0.8510863804981452,0.7163384779137839,0.42500000000000004,1,2,7.760732650756836
3,0.45576769401950223,valid,0.7419012214551248,0.7951824660649756,0.8212736919453356,0.7438060094886663,0.7399056109071841,0.7477477477477478,0.7360298030867483,0.375,0,2,7.6993796825408936
4,0.4602787984955695,valid,0.8146574614976102,0.879962703836479,0.8780099645692532,0.8197314049586777,0.7994962216624685,0.8410174880763116,0.7881852048962213,0.30000000000000004,1,4,7.7227325439453125
5,0.4173620540288187,valid,0.8088157195963888,0.8772218983532885,0.8807354586077539,0.8174442190669371,0.7836655323286339,0.854266030736619,0.7631718999467803,0.275,0,4,7.6096885204315186
6,0.3985971217193911,valid,0.8157195963887414,0.8851739853054694,0.8824027161272752,0.8215020576131687,0.7981009495252374,0.8463169051404346,0.7849920170303353,0.30000000000000004,1,6,7.695282220840454
7,0.3886603193898355,valid,0.8101433882103027,0.8894091474312493,0.8911520636737006,0.8130718954248366,0.8023735810113519,0.8240593534711181,0.7961681745609367,0.15000000000000002,0,6,7.632678031921387
8,0.3965834706060348,valid,0.8104089219330854,0.8804535838471287,0.8877014317081111,0.8135770234986945,0.8018528049408131,0.825649178590355,0.7951037786056413,0.30000000000000004,0,6,7.644979000091553
9,0.39187139176553293,valid,0.8143919277748274,0.8917706173129898,0.8950517687352715,0.8192397207137315,0.8,0.8394276629570747,0.7892496008515167,0.225,0,6,7.632817029953003
10,0.37305681791997725,valid,0.817578332448221,0.9009544873427414,0.8978780176671451,0.8304959289415248,0.7770083102493075,0.8918918918918919,0.7429483767961682,0.17500000000000002,1,10,7.6751134395599365
11,0.35638829825385926,valid,0.813595326606479,0.8933548017541382,0.8979690468655191,0.82,0.7943368107302533,0.8473767885532592,0.7796700372538584,0.225,0,10,7.630782842636108
12,0.3624526488204156,valid,0.7979288369622942,0.8875250199327461,0.8917770210665512,0.810555140652228,0.7643192488262911,0.8627450980392157,0.7328366152208622,0.125,0,10,7.636637210845947
13,0.3472114623554291,valid,0.7841210833775889,0.8509718747329491,0.8689062834568659,0.7798537774167343,0.7973421926910299,0.7631160572337043,0.8052155401809473,0.30000000000000004,0,10,7.6071977615356445
14,0.3428186058036743,valid,0.8024429102496017,0.8820528571021636,0.8881314040562813,0.8113590263691683,0.7778317938745746,0.8479067302596714,0.756785524215008,0.17500000000000002,0,10,7.594768762588501
15,0.3381604035535166,valid,0.7849176845459374,0.8632758858473412,0.8635868589614546,0.7922011287839917,0.7677772252610642,0.8182299947005829,0.7514635444385311,0.1,0,10,7.626140832901001
