epoch,train_loss,selection_split,selection_acc,selection_auc,selection_auprc,selection_f1,selection_precision,selection_recall,selection_specificity,selection_threshold,best_so_far,best_epoch_so_far,elapsed_sec
1,0.6820366602194937,valid,0.5908385093167702,0.5469161184210526,0.5321824066781226,0.7090005521811154,0.5676392572944297,0.9441176470588235,0.19572368421052633,0.475,1,1,11.899539709091187
2,0.6600069936953092,valid,0.531832298136646,0.4473091621517028,0.47472449519065724,0.6925038245792963,0.5300546448087432,0.9985294117647059,0.009868421052631578,0.45000000000000007,0,1,3.2072160243988037
3,0.6319025974524649,valid,0.5768633540372671,0.5754450464396285,0.5730688356237787,0.7058823529411765,0.5575447570332481,0.961764705882353,0.14638157894736842,0.375,0,1,3.2067923545837402
4,0.5703280191672476,valid,0.5753105590062112,0.6150033862229103,0.6345312427099702,0.7012561441835062,0.5577758470894874,0.9441176470588235,0.16282894736842105,0.17500000000000002,0,1,3.1911091804504395
5,0.5407593720837643,valid,0.5287267080745341,0.5456922407120743,0.6304416911041517,0.6914082358922217,0.5283605283605284,1.0,0.001644736842105263,0.25,0,1,3.1776506900787354
6,0.4949432172273335,valid,0.6055900621118012,0.7028855456656348,0.7305241021935619,0.7083811710677382,0.5809792843691148,0.9073529411764706,0.2680921052631579,0.375,0,1,3.174051284790039
7,0.45956418702476903,valid,0.6498447204968945,0.7313806114551084,0.7323047722829006,0.7241590214067278,0.6198952879581152,0.8705882352941177,0.4029605263157895,0.1,1,7,3.2730672359466553
8,0.4168075903465873,valid,0.6436335403726708,0.7040441176470589,0.7170818787678055,0.7093096896770108,0.6229143492769744,0.8235294117647058,0.44243421052631576,0.15000000000000002,0,7,3.172292709350586
9,0.38522365061860336,valid,0.6809006211180124,0.7635448916408668,0.7722018992527955,0.7367072389493914,0.6526674233825198,0.8455882352941176,0.4967105263157895,0.5750000000000001,1,9,3.2501394748687744
10,0.36032350910337346,valid,0.7236024844720497,0.783610681114551,0.8021018703498888,0.7231726283048211,0.7673267326732673,0.6838235294117647,0.7680921052631579,0.1,0,9,3.1717886924743652
11,0.3593212036710036,valid,0.7049689440993789,0.7834921633126934,0.7941551207347451,0.7535667963683528,0.6740139211136891,0.8544117647058823,0.537828947368421,0.2,1,11,3.2432572841644287
12,0.36374330991192866,valid,0.7166149068322981,0.7916142608359134,0.8102337569033071,0.7532116294793779,0.6971214017521903,0.8191176470588235,0.6019736842105263,0.35,0,11,3.1760408878326416
13,0.34927255228946086,valid,0.7243788819875776,0.7879377902476781,0.7954874926395012,0.7628590514362057,0.6988984088127295,0.8397058823529412,0.5953947368421053,0.1,1,13,3.2362279891967773
14,0.32409411198214483,valid,0.71972049689441,0.8032991486068111,0.8221387960160248,0.7522306108442004,0.7052767052767053,0.8058823529411765,0.6233552631578947,0.1,0,13,3.1745026111602783
15,0.3202273673132846,valid,0.6770186335403726,0.7529000580495357,0.7580836580832508,0.7346938775510204,0.6486486486486487,0.8470588235294118,0.4868421052631579,0.1,0,13,3.171220541000366
16,0.3090085136262994,valid,0.6956521739130435,0.7573287538699691,0.7855912847400531,0.7096296296296296,0.7149253731343284,0.7044117647058824,0.6858552631578947,0.1,0,13,3.1673429012298584
17,0.3149089123073377,valid,0.718944099378882,0.7907483552631579,0.8173320868137037,0.7450704225352113,0.7148648648648649,0.7779411764705882,0.6529605263157895,0.125,0,13,3.1761538982391357
18,0.31680615638431747,valid,0.7422360248447205,0.8133078560371516,0.8205680467111949,0.7492447129909365,0.7701863354037267,0.7294117647058823,0.756578947368421,0.1,0,13,3.1706795692443848
19,0.3169588227021067,valid,0.7204968944099379,0.7810250580495357,0.7994852753357768,0.7349042709867453,0.7359882005899705,0.7338235294117647,0.7055921052631579,0.1,0,13,3.1692376136779785
20,0.28984966246705307,valid,0.6933229813664596,0.7915005804953561,0.8097071702101346,0.7463070006422607,0.6624857468643102,0.8544117647058823,0.5131578947368421,0.5750000000000001,0,13,3.170133352279663
21,0.2943220232662402,valid,0.6381987577639752,0.6970636609907122,0.7304633796031952,0.7001287001287001,0.6224256292906178,0.8,0.45723684210526316,0.15000000000000002,0,13,3.1683619022369385
22,0.29427327921516017,valid,0.717391304347826,0.7868856424148607,0.8090640051438922,0.7225609756097561,0.75,0.6970588235294117,0.7401315789473685,0.1,0,13,3.1733694076538086
23,0.2816097022671449,valid,0.71972049689441,0.7842250386996904,0.7995865907918842,0.7164179104477612,0.7689713322091062,0.6705882352941176,0.774671052631579,0.1,0,13,3.169426679611206
24,0.2797100583189412,valid,0.6816770186335404,0.8195239938080494,0.8342514950294199,0.5980392156862745,0.8970588235294118,0.4485294117647059,0.9424342105263158,0.1,0,13,3.1685502529144287
25,0.2767707368260936,valid,0.6956521739130435,0.7677752515479876,0.8037308749526229,0.7087667161961367,0.7162162162162162,0.7014705882352941,0.6891447368421053,0.1,0,13,3.1710281372070312
26,0.2680213867049468,valid,0.6855590062111802,0.75609520123839,0.784305685970791,0.6858029480217223,0.7257799671592775,0.65,0.725328947368421,0.1,0,13,3.170612335205078
27,0.28859554937011317,valid,0.7414596273291926,0.8167424535603716,0.8221049871493524,0.7556859867938371,0.7540263543191801,0.7573529411764706,0.7236842105263158,0.1,0,13,3.171010971069336
28,0.2765152462218937,valid,0.7010869565217391,0.7667714783281734,0.7909787256233771,0.7357584076870282,0.6898326898326899,0.788235294117647,0.6036184210526315,0.325,0,13,3.1717112064361572
29,0.2698607531033064,valid,0.6964285714285714,0.7624733939628483,0.7909591749336002,0.6942924159499609,0.7412353923205343,0.6529411764705882,0.7450657894736842,0.1,0,13,3.169564962387085
30,0.26235586718509074,valid,0.7430124223602484,0.8216863390092879,0.8450709519513777,0.7715665976535542,0.7269180754226268,0.8220588235294117,0.6546052631578947,0.45000000000000007,1,30,3.230341911315918
31,0.26190247974897685,valid,0.7305900621118012,0.791703753869969,0.8161234620178164,0.7469000729394603,0.7409551374819102,0.7529411764705882,0.7055921052631579,0.325,0,30,3.1729259490966797
32,0.2597165680245349,valid,0.7003105590062112,0.8101489938080495,0.8234946401732417,0.6559714795008913,0.832579185520362,0.5411764705882353,0.8782894736842105,0.1,0,30,3.1722710132598877
33,0.2585596152042088,valid,0.7290372670807453,0.8059355650154799,0.838742971138061,0.7505360972122945,0.7301808066759388,0.7720588235294118,0.680921052631579,0.125,0,30,3.1723203659057617
34,0.2700642825741517,valid,0.718167701863354,0.7736189047987616,0.7977776548487467,0.7079646017699115,0.7815275310834814,0.6470588235294118,0.7976973684210527,0.1,0,30,3.175685167312622
35,0.23830795288085938,valid,0.7290372670807453,0.7985753676470588,0.825370981310978,0.7370007535795027,0.7557959814528593,0.7191176470588235,0.7401315789473685,0.125,0,30,3.8405137062072754
36,0.2389682876436334,valid,0.718167701863354,0.7946521865325077,0.8262610453326482,0.72768192048012,0.7427258805513017,0.7132352941176471,0.7236842105263158,0.1,0,30,3.1674559116363525
37,0.2527305475975338,valid,0.7523291925465838,0.8220539860681115,0.8461614039530921,0.7404393816110659,0.8287795992714025,0.6691176470588235,0.8453947368421053,0.1,0,30,3.1661972999572754
38,0.24110345307149386,valid,0.7523291925465838,0.8249177631578948,0.8437889856504699,0.7723054960742327,0.7503467406380028,0.7955882352941176,0.7039473684210527,0.15000000000000002,1,38,3.232250928878784
39,0.24328961576286115,valid,0.7445652173913043,0.8189410797213623,0.8395059877522034,0.7463377023901311,0.7844408427876823,0.711764705882353,0.78125,0.1,0,38,3.164640426635742
40,0.22906457750420822,valid,0.7406832298136646,0.7987204914860682,0.8325664745658515,0.7511177347242921,0.7613293051359517,0.7411764705882353,0.7401315789473685,0.35,0,38,3.1654129028320312
41,0.24359135329723358,valid,0.735248447204969,0.8034999032507739,0.8156347006821095,0.7555555555555555,0.737062937062937,0.775,0.6907894736842105,0.125,0,38,3.1608645915985107
42,0.23316724049417595,valid,0.7562111801242236,0.8191297407120743,0.8326013321965609,0.7680945347119645,0.771513353115727,0.7647058823529411,0.7467105263157895,0.125,0,38,3.1675314903259277
43,0.2255377134210185,valid,0.735248447204969,0.8168512964396284,0.8435488466173278,0.7000879507475813,0.8708971553610503,0.5852941176470589,0.9029605263157895,0.1,0,38,3.159106731414795
44,0.22648028401952042,valid,0.7639751552795031,0.8330567917956657,0.8485277504690802,0.7803468208092486,0.7670454545454546,0.7941176470588235,0.7302631578947368,0.125,1,44,3.268871784210205
45,0.2175341248512268,valid,0.7422360248447205,0.8349167956656347,0.8491972479502317,0.7195945945945946,0.8452380952380952,0.6264705882352941,0.8717105263157895,0.1,0,44,3.171989917755127
46,0.23357199681432625,valid,0.7236024844720497,0.7876959171826626,0.8170613855724902,0.6998313659359191,0.8201581027667985,0.6102941176470589,0.850328947368421,0.1,0,44,3.1594369411468506
47,0.21980933845043182,valid,0.7414596273291926,0.8294480456656347,0.8458799219041913,0.7564008778346745,0.75254730713246,0.7602941176470588,0.7203947368421053,0.1,0,44,3.162447929382324
48,0.2229014211579373,valid,0.7360248447204969,0.7971507352941176,0.8290999692839807,0.7335423197492164,0.785234899328859,0.6882352941176471,0.7894736842105263,0.1,0,44,3.1675593852996826
49,0.21039234572335294,valid,0.7461180124223602,0.8188987519349846,0.8426527566652321,0.768904593639576,0.7401360544217687,0.8,0.6858552631578947,0.2,0,44,3.1685914993286133
50,0.22468940129405574,valid,0.7406832298136646,0.8098490712074302,0.835645941517795,0.7514880952380952,0.7605421686746988,0.7426470588235294,0.7384868421052632,0.1,0,44,3.1777403354644775
51,0.20083992183208466,valid,0.7453416149068323,0.8212098490712073,0.8415002060212047,0.7333333333333333,0.82,0.663235294117647,0.837171052631579,0.1,0,44,3.1697065830230713
52,0.2092410718139849,valid,0.7236024844720497,0.799390479876161,0.8332603536681766,0.6988155668358714,0.8227091633466136,0.6073529411764705,0.8536184210526315,0.1,0,44,3.1638906002044678
53,0.20838744781519236,valid,0.7663043478260869,0.8306695046439629,0.8515816516723078,0.7845382963493199,0.7642956764295676,0.8058823529411765,0.7220394736842105,0.1,1,53,3.2453463077545166
54,0.18398120685627586,valid,0.7523291925465838,0.82437354876161,0.8529303448253935,0.7339449541284404,0.8477842003853564,0.6470588235294118,0.8700657894736842,0.1,0,53,3.177539825439453
