epoch,train_loss,selection_split,selection_acc,selection_auc,selection_auprc,selection_f1,selection_precision,selection_recall,selection_specificity,selection_threshold,best_so_far,best_epoch_so_far,elapsed_sec
1,0.6167924404144287,valid,0.6143317230273752,0.7339786902286902,0.69421133679183,0.685489166119501,0.560687432867884,0.8817567567567568,0.3707692307692308,0.275,1,1,8.19541072845459
2,0.5894235529397663,valid,0.6457326892109501,0.7341528066528067,0.7073947663259837,0.6931659693165969,0.5902612826603325,0.839527027027027,0.46923076923076923,0.4,1,2,3.996678590774536
3,0.5793915861531308,valid,0.6473429951690821,0.7340280665280665,0.7160343327761685,0.6857962697274032,0.5960099750623441,0.8074324324324325,0.5015384615384615,0.475,0,2,3.662170886993408
4,0.5742092540389613,valid,0.5877616747181964,0.7445686070686071,0.719387448011663,0.6900726392251816,0.5377358490566038,0.9628378378378378,0.24615384615384617,0.275,0,2,3.6886844635009766
5,0.5659144520759583,valid,0.6288244766505636,0.7459407484407483,0.7216090231962827,0.6944996686547382,0.5714285714285714,0.8851351351351351,0.3953846153846154,0.475,1,5,4.114468812942505
6,0.5523459895661003,valid,0.6352657004830918,0.7577884615384616,0.7346927525522405,0.7052700065061809,0.5735449735449736,0.9155405405405406,0.38,0.525,1,6,4.042624473571777
7,0.5197407666005587,valid,0.6626409017713365,0.7328196465696465,0.6905148115610564,0.6983441324694024,0.6085319949811794,0.8192567567567568,0.52,0.9,0,6,3.65358829498291
8,0.4764944503181859,valid,0.7463768115942029,0.83370841995842,0.7744641083771776,0.7722342733188721,0.6750948166877371,0.902027027027027,0.6046153846153847,0.525,1,8,4.032677888870239
9,0.46612000465393066,valid,0.6932367149758454,0.7957588357588359,0.758077937988783,0.7441235728676965,0.6176142697881828,0.9358108108108109,0.4723076923076923,0.525,0,8,3.6575822830200195
10,0.44561409165984706,valid,0.7383252818035426,0.8331444906444907,0.8087390423720333,0.7615553925165077,0.6731517509727627,0.8766891891891891,0.6123076923076923,0.5,0,8,3.6633310317993164
11,0.4321848263866023,valid,0.7520128824476651,0.8464760914760915,0.8218976573583596,0.7673716012084593,0.6939890710382514,0.8581081081081081,0.6553846153846153,0.6,0,8,3.6518568992614746
12,0.42188237215343277,valid,0.7648953301127214,0.8345738045738046,0.8094893296956152,0.7637540453074434,0.7329192546583851,0.7972972972972973,0.7353846153846154,0.5,0,8,3.66214656829834
13,0.4193031740816016,valid,0.7793880837359098,0.8573154885654886,0.8329584766585783,0.780448717948718,0.7423780487804879,0.8226351351351351,0.74,0.8250000000000001,1,13,4.084743976593018
14,0.4172748060602891,valid,0.7681159420289855,0.8314241164241165,0.8036956794573558,0.7703349282296651,0.729607250755287,0.8158783783783784,0.7246153846153847,0.725,0,13,3.6607282161712646
15,0.4129662137282522,valid,0.7657004830917874,0.8526949064449064,0.8258818731893482,0.7752895752895753,0.7140825035561877,0.847972972972973,0.6907692307692308,0.42500000000000004,0,13,3.6597397327423096
16,0.392289809490505,valid,0.7528180354267311,0.8448050935550937,0.8157835197420084,0.7710663683818046,0.6902536715620827,0.8733108108108109,0.6430769230769231,0.5750000000000001,0,13,3.652221202850342
17,0.39657547128827947,valid,0.7729468599033816,0.8461018711018711,0.8232140120034065,0.7740384615384616,0.7362804878048781,0.8158783783783784,0.7338461538461538,0.5750000000000001,0,13,3.647847890853882
18,0.38610674832996567,valid,0.750402576489533,0.8542645530145531,0.8283373072291683,0.7737226277372263,0.6812339331619537,0.8952702702702703,0.6184615384615385,0.4,0,13,3.6642093658447266
19,0.3649954952691731,valid,0.7729468599033816,0.8485213097713098,0.8195224043232164,0.7772511848341233,0.7299703264094956,0.831081081081081,0.72,0.775,0,13,3.6589229106903076
20,0.3678673521468514,valid,0.7721417069243156,0.8474324324324324,0.8187226099451469,0.7737809752198241,0.7344461305007587,0.8175675675675675,0.7307692307692307,0.5,0,13,3.6655664443969727
21,0.3762355525242655,valid,0.7665056360708534,0.840262474012474,0.7970404588530245,0.7755417956656346,0.7157142857142857,0.8462837837837838,0.6938461538461539,0.75,0,13,3.661734104156494
22,0.3535913401528409,valid,0.785024154589372,0.8573258835758835,0.8297377904742433,0.7865707434052758,0.7465857359635811,0.831081081081081,0.7430769230769231,0.4,1,22,4.004321575164795
23,0.35295728633278295,valid,0.782608695652174,0.8608874740124739,0.827689458482854,0.7932618683001531,0.7254901960784313,0.875,0.6984615384615385,0.25,1,23,4.0154852867126465
24,0.36057929459371063,valid,0.710950080515298,0.7920932952182952,0.7371655554708749,0.7508674531575295,0.6372202591283863,0.9138513513513513,0.5261538461538462,0.6,0,23,3.661545753479004
25,0.3420587558495371,valid,0.7592592592592593,0.8404599792099793,0.8087879621282696,0.7712318286151492,0.7048951048951049,0.8513513513513513,0.6753846153846154,0.675,0,23,3.652066707611084
26,0.346249647830662,valid,0.7729468599033816,0.8586304573804574,0.8331161887317249,0.7870090634441088,0.7117486338797814,0.8800675675675675,0.6753846153846154,0.30000000000000004,0,23,3.653621196746826
