epoch,train_loss,selection_split,selection_acc,selection_auc,selection_auprc,selection_f1,selection_precision,selection_recall,selection_specificity,selection_threshold,best_so_far,best_epoch_so_far,elapsed_sec
1,0.6169191191070958,valid,0.6224237427864798,0.679668486482931,0.6204332304396835,0.6540785498489426,0.560880829015544,0.7844202898550725,0.48714069591527986,0.525,1,1,31.57236337661743
2,0.5716812265546698,valid,0.6471558120362737,0.6848566072485693,0.6676180257283474,0.6635220125786163,0.5861111111111111,0.7644927536231884,0.5491679273827534,0.525,1,2,10.53842306137085
3,0.5408572350677691,valid,0.6455070074196207,0.6829052380012717,0.6436326725535313,0.6707503828483921,0.5809018567639257,0.7934782608695652,0.5219364599092284,0.55,1,3,10.810403108596802
4,0.5197429406015497,valid,0.6463314097279472,0.6918700256528316,0.6533489054877396,0.6752460257380772,0.5799739921976593,0.8079710144927537,0.5113464447806354,0.5,1,4,10.797311544418335
5,0.498789402999376,valid,0.6339653751030503,0.676689359556228,0.6013765980858643,0.665158371040724,0.5697674418604651,0.7989130434782609,0.4962178517397882,0.35,0,4,10.35178279876709
6,0.45607023019539683,valid,0.6553998351195384,0.7036083886952137,0.6232156239497518,0.6875934230194319,0.5852417302798982,0.8333333333333334,0.5068078668683812,0.625,1,6,10.749385118484497
7,0.4467907344040118,valid,0.6183017312448474,0.6922454997917078,0.6270776886449321,0.6685755189692197,0.5526627218934911,0.8460144927536232,0.4281391830559758,0.525,0,6,10.354228734970093
8,0.434963743937643,valid,0.6521022258862325,0.7158099278651144,0.6931294853617443,0.667192429022082,0.590782122905028,0.7663043478260869,0.556732223903177,0.475,0,6,10.29924488067627
9,0.4165892271619094,valid,0.6281945589447651,0.6872519678133702,0.6058833055666644,0.6495726495726496,0.5687074829931973,0.7572463768115942,0.5204236006051437,0.375,0,6,10.290327787399292
10,0.41526004672050476,valid,0.651277823577906,0.7108410620710824,0.6791993700121939,0.6713286713286714,0.5877551020408164,0.782608695652174,0.5416036308623298,0.2,0,6,10.32468295097351
11,0.40159804883756134,valid,0.6356141797197032,0.7100298186761386,0.6504147233300854,0.6686656671664168,0.5703324808184144,0.8079710144927537,0.491679273827534,0.525,0,6,10.318923950195312
12,0.3939896821975708,valid,0.6339653751030503,0.7115481593545134,0.6135983563793943,0.6791907514450867,0.5649038461538461,0.8514492753623188,0.4523449319213313,0.4,0,6,10.338378667831421
13,0.3876744414630689,valid,0.6224237427864798,0.7341889758600276,0.7102929168693363,0.6810584958217271,0.5531674208144797,0.8858695652173914,0.40242057488653554,0.2,0,6,10.31862211227417
14,0.386874573795419,valid,0.596042868920033,0.7003606744282926,0.6471444724029294,0.6592489568845619,0.5349887133182845,0.8586956521739131,0.3767019667170953,0.15000000000000002,0,6,10.358368158340454
15,0.3661098778247833,valid,0.6372629843363561,0.735693613102677,0.6725257541517087,0.6848137535816619,0.566350710900474,0.8659420289855072,0.4462934947049924,0.42500000000000004,0,6,10.3172287940979
16,0.3749702165001317,valid,0.6257213520197856,0.7194660045166523,0.6273175666703659,0.6868965517241379,0.5545657015590201,0.9021739130434783,0.394856278366112,0.5,0,6,10.325696229934692
17,0.3641149166383241,valid,0.6273701566364386,0.7356442807340657,0.6629103954445177,0.6852367688022284,0.5565610859728507,0.8913043478260869,0.4069591527987897,0.17500000000000002,0,6,10.374255180358887
18,0.3513779436287127,valid,0.6273701566364386,0.7384918546778048,0.6842175616190865,0.6816901408450704,0.5576036866359447,0.8768115942028986,0.41906202723146746,0.17500000000000002,0,6,10.301010131835938
19,0.37023553409074483,valid,0.6380873866446826,0.7230974149838848,0.6527809658195156,0.686204431736955,0.5667060212514758,0.8695652173913043,0.44478063540090773,0.375,0,6,10.3163001537323
20,0.3539754026814511,valid,0.6075845012366035,0.7258572869389814,0.6782990460605136,0.6753069577080492,0.5415754923413567,0.8967391304347826,0.3661119515885023,0.1,0,6,10.367089033126831
21,0.34365727085816233,valid,0.6875515251442704,0.7377052774671666,0.6857796168093562,0.6844296419650291,0.6332819722650231,0.7445652173913043,0.6399394856278366,0.65,0,6,12.047287464141846
22,0.34590503416563334,valid,0.6257213520197856,0.744044486833739,0.7118044376541235,0.6793785310734464,0.5567129629629629,0.8713768115942029,0.4205748865355522,0.25,0,6,10.947735786437988
23,0.3452196074159522,valid,0.6908491343775762,0.738598741476463,0.673571267705027,0.6918652423993427,0.6330827067669172,0.7626811594202898,0.6308623298033282,0.25,1,23,10.902094841003418
24,0.3313468788799487,valid,0.6331409727947238,0.6958988357561007,0.6116049647836846,0.6725533480500367,0.5662949194547707,0.8278985507246377,0.47049924357034795,0.525,0,23,10.336145401000977
25,0.32792308299165024,valid,0.6603462489694971,0.7523295840733188,0.6857574160432763,0.6934523809523809,0.5883838383838383,0.8442028985507246,0.5068078668683812,0.30000000000000004,1,25,10.98495101928711
26,0.32420225363028676,valid,0.6446826051112943,0.7434223508518056,0.6851136120252097,0.6901509705248023,0.5721096543504172,0.8695652173913043,0.4568835098335855,0.275,0,25,10.32617974281311
27,0.3250195250699395,valid,0.5919208573784006,0.7157496327479225,0.6472498920289699,0.6736980883322347,0.5295336787564767,0.9257246376811594,0.31316187594553707,0.15000000000000002,0,25,10.331564903259277
28,0.32554920880418076,valid,0.6859027205276175,0.7547770176938762,0.7059825203408329,0.6889795918367347,0.6270430906389302,0.7644927536231884,0.6202723146747352,0.30000000000000004,0,25,10.312981367111206
29,0.3239989359127848,valid,0.6150041220115416,0.7282115371966059,0.6766749117595849,0.6768166089965398,0.5475923852183651,0.8858695652173914,0.3888048411497731,0.325,0,25,10.328099012374878
30,0.31133449548169184,valid,0.6413849958779885,0.7299792804051832,0.6682407174686512,0.6789667896678967,0.572851805728518,0.8333333333333334,0.481089258698941,0.475,0,25,10.524787425994873
31,0.30356675072720174,valid,0.6199505358615004,0.744178780503848,0.702019525100138,0.6831615120274914,0.5503875968992248,0.9003623188405797,0.3857791225416036,0.30000000000000004,0,25,10.320199012756348
32,0.29934673403438766,valid,0.6488046166529267,0.7547907211296018,0.6976810261321702,0.6844444444444444,0.5789473684210527,0.8369565217391305,0.491679273827534,0.275,0,25,10.343542337417603
33,0.3036387594122636,valid,0.6133553173948887,0.7414024644258809,0.695592733704444,0.6824644549763034,0.5448648648648649,0.9130434782608695,0.3630862329803328,0.35,0,25,10.313143730163574
34,0.29426538944244385,valid,0.6331409727947238,0.7362170843473875,0.679946820298305,0.6796256299496041,0.5639187574671446,0.855072463768116,0.44780635400907715,0.25,0,25,10.299022912979126
35,0.2966323275315134,valid,0.6471558120362737,0.7623550176500251,0.7088257963607774,0.6898550724637681,0.5748792270531401,0.8623188405797102,0.46747352496217853,0.35,0,25,10.417015314102173
36,0.29800507112553243,valid,0.685078318219291,0.7649148194435309,0.7197932284145161,0.6934189406099518,0.622478386167147,0.782608695652174,0.6036308623298033,0.475,0,25,10.349101543426514
37,0.30034874928625005,valid,0.572959604286892,0.7372640268368085,0.6851845959193057,0.672979797979798,0.5164728682170543,0.9655797101449275,0.24508320726172467,0.125,0,25,10.360527992248535
38,0.2910896594587125,valid,0.6751854905193735,0.758764717489969,0.6853274617208363,0.6987767584097859,0.6044973544973545,0.8278985507246377,0.5476550680786687,0.325,1,38,10.828461170196533
39,0.27772514992638636,valid,0.6306677658697445,0.7225437961805784,0.6763682282440096,0.6790830945558739,0.5616113744075829,0.8586956521739131,0.4402420574886536,0.45000000000000007,0,38,10.348313331604004
40,0.27727869153022766,valid,0.6347897774113768,0.7436690126948629,0.6790399677677108,0.6782861292665214,0.566060606060606,0.8460144927536232,0.4583963691376702,0.325,0,38,10.347496747970581
41,0.28207673446128245,valid,0.6339653751030503,0.7311714793132935,0.6797693740933672,0.6833095577746077,0.5635294117647058,0.8677536231884058,0.43872919818456885,0.42500000000000004,0,38,10.335010290145874
42,0.2836650209991555,valid,0.6776586974443528,0.7433839812317744,0.6921505971603064,0.6738949124270225,0.624420401854714,0.7318840579710145,0.632375189107413,0.6,0,38,10.339309453964233
43,0.2712462709138268,valid,0.6669414674361088,0.7453874235348288,0.676115578671892,0.6887519260400616,0.599195710455764,0.8097826086956522,0.5476550680786687,0.4,0,38,10.3474600315094
44,0.27080526712693664,valid,0.640560593569662,0.7405473700366156,0.6848033574044479,0.6812865497076024,0.571078431372549,0.8442028985507246,0.47049924357034795,0.35,0,38,10.314377069473267
45,0.27576840864984614,valid,0.6694146743610883,0.7666195268477713,0.7129014253272299,0.6964420893262679,0.5981794538361509,0.8333333333333334,0.5325264750378215,0.375,0,38,10.353142499923706
46,0.26766804409654515,valid,0.6949711459192086,0.7593772610668947,0.6971499327986356,0.7011308562197092,0.6326530612244898,0.7862318840579711,0.6187594553706506,0.525,1,46,10.901975393295288
47,0.2693778762691899,valid,0.6479802143446002,0.7203457650902234,0.6394836161499527,0.6732976281560826,0.5827814569536424,0.7971014492753623,0.5234493192133132,0.45000000000000007,0,46,10.35582947731018
48,0.25389679011545685,valid,0.6537510305028854,0.7631498169220987,0.7165638879487328,0.6965317919075145,0.5793269230769231,0.8731884057971014,0.47049924357034795,0.30000000000000004,0,46,10.460901975631714
49,0.25152554245371567,valid,0.5968672712283595,0.7080811901159859,0.650581939291029,0.6625258799171843,0.5351170568561873,0.8695652173913043,0.3691376701966717,0.17500000000000002,0,46,10.39534592628479
50,0.2636746677913164,valid,0.6776586974443528,0.7610860795018526,0.7131801340959254,0.6942924159499609,0.6107290233837689,0.8043478260869565,0.5718608169440242,0.17500000000000002,0,46,10.342036724090576
51,0.2602411085053494,valid,0.6999175597691674,0.7413092810629481,0.6455560124133157,0.6996699669966997,0.6424242424242425,0.7681159420289855,0.642965204236006,0.7000000000000001,0,46,10.344351768493652
52,0.25272807949467707,valid,0.6496290189612531,0.724730864522353,0.6313664693519292,0.685418208734271,0.5794743429286608,0.8387681159420289,0.491679273827534,0.6,0,46,10.341856718063354
53,0.2534407314501311,valid,0.6760098928277,0.7395867591922647,0.6877178731586902,0.6822958771220695,0.6160583941605839,0.7644927536231884,0.6021180030257186,0.6,0,46,10.354641675949097
54,0.24739502056648857,valid,0.6941467436108821,0.7420711920892806,0.6740102019705942,0.6847918436703483,0.6448,0.730072463768116,0.6641452344931922,0.475,0,46,10.318463563919067
55,0.24938377659571798,valid,0.6760098928277,0.7532531956412113,0.6919114250226412,0.6969930609097919,0.6067114093959731,0.8188405797101449,0.556732223903177,0.5,0,46,10.303632259368896
