epoch,train_loss,selection_split,selection_acc,selection_auc,selection_auprc,selection_f1,selection_precision,selection_recall,selection_specificity,selection_threshold,best_so_far,best_epoch_so_far,elapsed_sec
1,0.6293079495429993,valid,0.669558359621451,0.74168155106657,0.7651318213520903,0.734977862112587,0.6287878787878788,0.8843226788432268,0.4386252045826514,0.42500000000000004,1,1,16.854412317276
2,0.610520887374878,valid,0.6916403785488959,0.7485520405951767,0.7649319518061589,0.745608327911516,0.6511363636363636,0.8721461187214612,0.49754500818330605,0.5,1,2,14.38233494758606
3,0.5907069653272629,valid,0.694006309148265,0.744364479718604,0.7567390085356707,0.7378378378378379,0.6634264884568651,0.8310502283105022,0.546644844517185,0.525,0,2,13.212563276290894
4,0.5799228340387345,valid,0.6466876971608833,0.7434427679254261,0.7602212564973275,0.726161369193154,0.6067415730337079,0.9041095890410958,0.3698854337152209,0.325,0,2,13.360027074813843
5,0.5611782073974609,valid,0.693217665615142,0.7446160821270118,0.7646323987815367,0.6920031670625495,0.7211221122112211,0.665144596651446,0.723404255319149,0.125,0,2,13.215659618377686
6,0.5578143626451493,valid,0.6853312302839116,0.7529812394283394,0.7358866371609225,0.7393860222077073,0.6475972540045767,0.8614916286149162,0.4959083469721768,0.55,0,2,13.239459037780762
7,0.5293043851852417,valid,0.6798107255520505,0.7346491391959186,0.6901143889450602,0.74625,0.633085896076352,0.908675799086758,0.4337152209492635,0.775,1,7,13.760194063186646
8,0.4953966036438942,valid,0.7168769716088328,0.794914143792022,0.7856780193278521,0.7605070046697798,0.6769596199524941,0.867579908675799,0.5548281505728314,0.125,1,8,13.920132398605347
9,0.4855925843119621,valid,0.7105678233438486,0.7767190547721006,0.7455908823551801,0.7545150501672241,0.6730310262529833,0.8584474885844748,0.5515548281505729,0.7000000000000001,0,8,14.054960250854492
10,0.4637972593307495,valid,0.7200315457413249,0.7824037745343488,0.7504714212581867,0.7644326476443265,0.6776470588235294,0.8767123287671232,0.5515548281505729,0.55,1,10,13.785936832427979
11,0.4623255804181099,valid,0.723186119873817,0.7826279747002569,0.7593192784589244,0.7620338983050847,0.687041564792176,0.8554033485540334,0.5810147299509002,0.325,0,10,12.965444087982178
12,0.4592304080724716,valid,0.7271293375394322,0.7691261424866788,0.7177259438667433,0.7702523240371846,0.6831566548881036,0.882800608828006,0.5597381342062193,0.525,1,12,13.205275058746338
13,0.4409726053476334,valid,0.7105678233438486,0.7775311575952788,0.7217729975458556,0.7648942985265855,0.6603982300884956,0.908675799086758,0.49754500818330605,0.55,0,12,12.759762048721313
14,0.44014675319194796,valid,0.7610410094637224,0.8158519481748859,0.7980230233125708,0.7911784975878704,0.7229219143576826,0.8736681887366818,0.6399345335515548,0.4,1,14,13.247167110443115
15,0.43051200807094575,valid,0.7239747634069401,0.7876899162238714,0.7561652308601762,0.7712418300653595,0.6758304696449027,0.898021308980213,0.5368248772504092,0.525,0,14,12.93792176246643
16,0.4306080549955368,valid,0.7531545741324921,0.8074020930331044,0.7865755334151874,0.7800421644413211,0.7245430809399478,0.8447488584474886,0.6546644844517185,0.275,0,14,13.696509838104248
17,0.4207219839096069,valid,0.7042586750788643,0.8017422844004014,0.8026049704284567,0.7597693786034593,0.6559734513274337,0.9025875190258752,0.4909983633387889,0.125,0,14,13.382293939590454
18,0.40354219526052476,valid,0.7097791798107256,0.7839507556791148,0.7678232736164881,0.7676767676767676,0.6558791801510249,0.9254185692541856,0.4779050736497545,0.45000000000000007,0,14,13.249124526977539
19,0.39841401427984235,valid,0.751577287066246,0.8294384782289183,0.8158337049421109,0.7875927174645988,0.7070217917675545,0.8888888888888888,0.6039279869067103,0.275,0,14,12.814199686050415
20,0.41009515672922137,valid,0.7279179810725552,0.8040353538750508,0.7818472815348567,0.7743623283191629,0.6788990825688074,0.9010654490106544,0.5417348608837971,0.475,0,14,13.224400520324707
21,0.4033201053738594,valid,0.7444794952681388,0.8161733017460211,0.7940171424708824,0.7848605577689243,0.696113074204947,0.8995433789954338,0.5777414075286416,0.45000000000000007,0,14,13.243390083312988
22,0.3933859974145889,valid,0.7626182965299685,0.8132711551539881,0.7921444168944697,0.7911172796668979,0.7270408163265306,0.867579908675799,0.6497545008183306,0.6,0,14,13.379746675491333
23,0.39994407445192337,valid,0.7294952681388013,0.8197032088025967,0.8156534071935505,0.7791371538956857,0.6752232142857143,0.9208523592085236,0.5237315875613748,0.17500000000000002,0,14,13.317293643951416
24,0.3905900284647942,valid,0.722397476340694,0.7970403086987172,0.778282398968072,0.7671957671957672,0.6783625730994152,0.882800608828006,0.5499181669394435,0.225,0,14,13.3875150680542
25,0.3895192354917526,valid,0.7547318611987381,0.8212551721732719,0.79926792725041,0.7880027266530334,0.7135802469135802,0.8797564687975646,0.6202945990180033,0.525,0,14,13.461941480636597
26,0.3783739790320396,valid,0.7799684542586751,0.8331253254016296,0.8170564504797788,0.7964989059080962,0.7647058823529411,0.8310502283105022,0.7250409165302782,0.42500000000000004,1,26,13.944074869155884
27,0.36966529190540315,valid,0.7594637223974764,0.8318473844559534,0.8172686176110354,0.7889273356401384,0.7233502538071066,0.867579908675799,0.6432078559738135,0.5,0,26,13.251052618026733
28,0.36540476977825165,valid,0.7586750788643533,0.816494655317156,0.7932094019340089,0.7872044506258693,0.7247119078104993,0.8614916286149162,0.6481178396072013,0.30000000000000004,0,26,13.252243280410767
29,0.359311181306839,valid,0.7697160883280757,0.8252172873274592,0.791552908732053,0.7972222222222223,0.7330779054916986,0.8736681887366818,0.6579378068739771,0.725,1,29,13.937099933624268
30,0.36357905715703964,valid,0.7594637223974764,0.8193718907796436,0.7909909178567196,0.7892190739460954,0.7227848101265822,0.8691019786910198,0.6415711947626841,0.675,0,29,13.231391906738281
31,0.3636973276734352,valid,0.7705047318611987,0.836774805880023,0.8283750833037251,0.7957894736842105,0.73828125,0.863013698630137,0.6710310965630114,0.35,0,29,13.212336540222168
32,0.3722869098186493,valid,0.750788643533123,0.8207644229212285,0.8057701018269798,0.7799442896935933,0.7188703465982028,0.852359208523592,0.6415711947626841,0.35,0,29,13.940547704696655
33,0.3587326094508171,valid,0.7673501577287066,0.8359950875252535,0.8235060792443322,0.7958477508650519,0.7296954314720813,0.8751902587519026,0.6513911620294599,0.30000000000000004,0,29,13.41509747505188
34,0.36124843508005144,valid,0.7839116719242902,0.8447114917531706,0.8285792232094981,0.8089260808926081,0.7464607464607464,0.882800608828006,0.6775777414075287,0.30000000000000004,1,34,14.596711874008179
35,0.3441628575325012,valid,0.7752365930599369,0.8383429614849025,0.8143544529910318,0.8027681660899654,0.7360406091370558,0.882800608828006,0.6595744680851063,0.525,0,34,13.714300155639648
36,0.34732078611850736,valid,0.7523659305993691,0.8045497687001621,0.7656862198183679,0.7837465564738292,0.7157232704402515,0.8660578386605784,0.630114566284779,0.625,0,34,13.545981884002686
37,0.34169026017189025,valid,0.7578864353312302,0.8218256370398604,0.8062248356958017,0.7830388692579505,0.7308707124010554,0.8432267884322678,0.6661211129296236,0.525,0,34,13.930748462677002
38,0.3498289570212364,valid,0.7673501577287066,0.8369691126904767,0.8207565327987173,0.7978067169294037,0.7256857855361596,0.8858447488584474,0.6399345335515548,0.35,0,34,13.927760362625122
39,0.3399525463581085,valid,0.7641955835962145,0.8223711907769035,0.7864803957501413,0.7981093855503039,0.7172330097087378,0.8995433789954338,0.618657937806874,0.675,0,34,13.492653608322144
40,0.33803435415029526,valid,0.7697160883280757,0.8320043245720892,0.8062635707359112,0.7955182072829131,0.7367055771725033,0.8645357686453576,0.6677577741407529,0.5,0,34,13.42934274673462
41,0.3398543506860733,valid,0.7689274447949527,0.8347370754832136,0.817092806687105,0.7935165609584214,0.7388451443569554,0.8569254185692542,0.67430441898527,0.475,0,34,13.346493005752563
42,0.33287468254566194,valid,0.776813880126183,0.8300039608695978,0.8007370136824841,0.8025122121423587,0.740979381443299,0.8751902587519026,0.6710310965630114,0.5,0,34,13.830498695373535
43,0.31841113418340683,valid,0.7563091482649842,0.8394627167579659,0.8184593677227674,0.7907921462423833,0.7121951219512195,0.8888888888888888,0.613747954173486,0.35,0,34,13.232146501541138
44,0.32366674691438674,valid,0.7594637223974764,0.8264341960057495,0.8038098659091202,0.7903780068728522,0.7205513784461153,0.8751902587519026,0.6350245499181669,0.375,0,34,13.257405519485474
45,0.31915931552648547,valid,0.7736593059936908,0.8355118116120739,0.8097398597131507,0.7980295566502463,0.7421465968586387,0.863013698630137,0.6775777414075287,0.65,0,34,13.248245477676392
46,0.31413007378578184,valid,0.7641955835962145,0.8232978847959902,0.7943652299567,0.7925052047189451,0.7283163265306123,0.8691019786910198,0.6513911620294599,0.7000000000000001,0,34,13.134990215301514
47,0.3148018874228001,valid,0.7641955835962145,0.8389620030541043,0.8251261982109852,0.7989240080699395,0.7156626506024096,0.9041095890410958,0.613747954173486,0.2,0,34,12.93688178062439
48,0.3180822491645813,valid,0.7712933753943217,0.8283324240771048,0.8010371653219918,0.8019125683060109,0.7273853779429987,0.893455098934551,0.6399345335515548,0.375,0,34,12.559910297393799
49,0.33149667382240294,valid,0.7697160883280757,0.8353100314627566,0.803005701482967,0.8032345013477089,0.720677146311971,0.9071537290715372,0.6219312602291326,0.6,0,34,13.481871366500854
50,0.3040659040212631,valid,0.776813880126183,0.8378858422577455,0.8092225275604363,0.8094276094276094,0.7258454106280193,0.9147640791476408,0.6284779050736498,0.375,1,50,14.229404926300049
51,0.30641129091382024,valid,0.7618296529968455,0.8214021478375895,0.7893976610606874,0.7956698240866035,0.7161997563946407,0.8949771689497716,0.618657937806874,0.375,0,50,13.26097559928894
52,0.307095468044281,valid,0.7476340694006309,0.8103067307380918,0.7688187180479216,0.7894736842105263,0.6952491309385863,0.91324200913242,0.5695581014729951,0.4,0,50,13.648196697235107
53,0.30339750051498415,valid,0.7468454258675079,0.8030376631367595,0.7576474092139929,0.7867109634551495,0.6981132075471698,0.9010654490106544,0.5810147299509002,0.6,0,50,13.417404890060425
54,0.2951608896255493,valid,0.7634069400630915,0.8254776086312081,0.8009472370978552,0.7907949790794979,0.7297297297297297,0.863013698630137,0.6563011456628478,0.275,0,50,12.955585241317749
55,0.30162234529852866,valid,0.7641955835962145,0.8230961046466729,0.7891882220312008,0.7956254272043746,0.7220843672456576,0.8858447488584474,0.6333878887070377,0.5,0,50,13.30124807357788
56,0.2986754566431046,valid,0.7839116719242902,0.8394926101134202,0.8164649843573721,0.8045649072753209,0.7570469798657719,0.8584474885844748,0.7037643207855974,0.30000000000000004,0,50,13.298832178115845
57,0.2980398118495941,valid,0.7799684542586751,0.8280733483298333,0.8019583728828896,0.7973856209150327,0.7625,0.8356164383561644,0.7201309328968903,0.5750000000000001,0,50,13.504729986190796
58,0.28104388117790224,valid,0.750788643533123,0.8162654729253389,0.7805911176455391,0.7861975642760487,0.707673568818514,0.8843226788432268,0.6072013093289689,0.42500000000000004,0,50,13.457061052322388
