variant,train_context,eval_context,n,positive_n,threshold,f1,precision,recall,auroc,auprc,graph_version,prediction_file
baseline,Artery,Artery,4792,2570,0.45000000000000007,0.8670779584969153,0.8344728319539403,0.9023346303501946,0.9238077309676493,0.9261723789234309,graph_v2,preds/baseline__train-Artery__eval-Artery.npz
baseline,Brain,Brain,4566,2418,0.375,0.8689078973542869,0.8371023380605596,0.9032258064516129,0.9301417980909782,0.928624460158664,graph_v2,preds/baseline__train-Brain__eval-Brain.npz
baseline,Combined,Combined,4864,2539,0.475,0.8673970532678504,0.833393829401089,0.904293028751477,0.9330997302299187,0.9356244158996485,graph_v2,preds/baseline__train-Combined__eval-Combined.npz
baseline,Liver,Liver,4150,2346,0.525,0.8541014402003757,0.8368098159509203,0.8721227621483376,0.9092206293488185,0.9241796887565962,graph_v2,preds/baseline__train-Liver__eval-Liver.npz
baseline,MuscleSkeletal,MuscleSkeletal,1425,765,0.35,0.8139390168014935,0.7767220902612827,0.8549019607843137,0.8687512378688849,0.8756599385704877,graph_v2,preds/baseline__train-MuscleSkeletal__eval-MuscleSkeletal.npz
baseline,Octopus,Octopus,1678,929,0.6,0.8088397790055248,0.8308740068104427,0.7879440258342304,0.8647310155916537,0.8846385319896987,graph_v2,preds/baseline__train-Octopus__eval-Octopus.npz
baseline,Ptychodera,Ptychodera,1634,875,0.475,0.7914716588663546,0.726145038167939,0.8697142857142857,0.8225228684359118,0.8308778208549663,graph_v2,preds/baseline__train-Ptychodera__eval-Ptychodera.npz
baseline,Strongylocentrotus,Strongylocentrotus,1493,724,0.4,0.7967781908302355,0.7224719101123596,0.888121546961326,0.8601200525903627,0.8309397673699774,graph_v2,preds/baseline__train-Strongylocentrotus__eval-Strongylocentrotus.npz
bioaware,Artery,Artery,4792,2570,0.4,0.8584870154309372,0.831268221574344,0.8875486381322957,0.9183379330150914,0.9228480722584406,graph_v2,preds/bioaware__train-Artery__eval-Artery.npz
bioaware,Brain,Brain,4566,2418,0.25,0.8633034987794955,0.8494795836669335,0.8775847808105872,0.9274107870363953,0.9305337214051965,graph_v2,preds/bioaware__train-Brain__eval-Brain.npz
bioaware,Combined,Combined,4864,2539,0.25,0.835733748540288,0.8260869565217391,0.8456085072863332,0.9030388731487716,0.9097110989797628,graph_v2,preds/bioaware__train-Combined__eval-Combined.npz
bioaware,Liver,Liver,4150,2346,0.375,0.854344122657581,0.8536170212765958,0.855072463768116,0.9100288409010573,0.9269219664529261,graph_v2,preds/bioaware__train-Liver__eval-Liver.npz
bioaware,MuscleSkeletal,MuscleSkeletal,1425,765,0.1,0.8161209068010076,0.787363304981774,0.8470588235294118,0.8781976629035453,0.895431358220885,graph_v2,preds/bioaware__train-MuscleSkeletal__eval-MuscleSkeletal.npz
bioaware,Octopus,Octopus,1678,929,0.325,0.8313805399898115,0.7891682785299806,0.8783638320775027,0.8715617953467918,0.8845022381435874,graph_v2,preds/bioaware__train-Octopus__eval-Octopus.npz
bioaware,Ptychodera,Ptychodera,1634,875,0.1,0.7562568008705114,0.7217030114226376,0.7942857142857143,0.8097097684923772,0.8203848890029268,graph_v2,preds/bioaware__train-Ptychodera__eval-Ptychodera.npz
bioaware,Strongylocentrotus,Strongylocentrotus,1493,724,0.375,0.7337209302325581,0.6335341365461847,0.8715469613259669,0.796756568406986,0.7718168815325771,graph_v2,preds/bioaware__train-Strongylocentrotus__eval-Strongylocentrotus.npz
