substrate_idx,seq_len,paired_frac,mfe_kcal_mol,bp_distance,fixed_eq_mfe,mean_pair_prob,mean_entropy
0,608,0.802632,-375.7,0,1,0.792497,0.088217
1,566,0.795053,-336.4,0,1,0.781223,0.123897
2,622,0.845659,-438.7,0,1,0.836177,0.085817
3,605,0.879339,-442.9,0,1,0.866599,0.048608
4,606,0.877888,-466.0,0,1,0.869014,0.055019
5,545,0.80367,-322.4,0,1,0.783948,0.111005
6,623,0.886035,-518.3,0,1,0.882602,0.03272
7,608,0.746711,-355.4,0,1,0.749749,0.114746
8,624,0.807692,-393.6,0,1,0.801971,0.084358
9,614,0.736156,-345.1,0,1,0.739928,0.117098
10,607,0.807249,-388.3,0,1,0.792448,0.082768
11,609,0.804598,-375.0,0,1,0.795169,0.09885
12,574,0.783972,-358.9,0,1,0.775415,0.104572
13,609,0.784893,-398.5,0,1,0.801362,0.096524
14,589,0.791171,-380.2,0,1,0.775283,0.063296
15,618,0.828479,-417.2,0,1,0.817602,0.076428
16,621,0.898551,-507.9,0,1,0.889909,0.050997
17,580,0.806897,-394.2,0,1,0.804397,0.068318
18,570,0.792982,-335.9,0,1,0.778549,0.124646
19,600,0.843333,-453.8,0,1,0.839104,0.060228
20,593,0.795953,-373.6,0,1,0.791785,0.087809
21,620,0.845161,-429.1,0,1,0.830746,0.07955
22,649,0.865948,-508.8,0,1,0.858543,0.054488
23,594,0.757576,-406.45,0,1,0.765955,0.071071
24,523,0.730402,-253.4,0,1,0.730995,0.149511
25,621,0.824477,-436.3,0,1,0.811989,0.099122
26,613,0.78956,-392.8,0,1,0.789787,0.100399
27,588,0.863946,-439.1,0,1,0.854244,0.052583
28,595,0.820168,-398.7,0,1,0.81896,0.086466
29,575,0.824348,-405.5,0,1,0.814093,0.057082
30,593,0.839798,-459.5,0,1,0.837734,0.04892
31,581,0.784854,-346.2,0,1,0.776727,0.08107
32,545,0.741284,-302.34,0,1,0.742962,0.125487
33,558,0.831541,-412.2,0,1,0.832504,0.070421
34,540,0.725926,-300.5,0,1,0.714391,0.109964
35,607,0.817133,-456.34,0,1,0.816002,0.045029
36,619,0.820679,-416.47,0,1,0.811207,0.082567
37,610,0.763934,-358.55,0,1,0.758221,0.083405
38,603,0.862355,-471.3,0,1,0.858258,0.048568
39,610,0.865574,-463.7,0,1,0.862772,0.06581
40,588,0.768707,-277.1,0,1,0.743759,0.140023
41,606,0.825083,-413.4,0,1,0.816132,0.06811
42,565,0.768142,-318.14,0,1,0.75307,0.096291
43,534,0.782772,-324.7,0,1,0.775959,0.08375
44,567,0.733686,-298.9,0,1,0.726995,0.152093
45,600,0.74,-367.6,0,1,0.761938,0.110944
46,622,0.810289,-396.1,0,1,0.794804,0.06653
47,583,0.861063,-433.6,0,1,0.852808,0.052976
48,609,0.840722,-431.6,0,1,0.831495,0.055138
