tissue,ADAR_median_TPM,ADARB1_median_TPM
Adipose_Subcutaneous,85.04,14.96
Adipose_Visceral_Omentum,72.53,12.03
Adrenal_Gland,71.03,5.41
Artery_Aorta,96.65,64.25
Artery_Coronary,87.60,47.58
Artery_Tibial,94.35,124.25
Bladder,89.06,59.25
Brain_Amygdala,40.91,4.44
Brain_Anterior_cingulate_cortex_BA24,52.56,8.81
Brain_Caudate_basal_ganglia,51.31,7.24
Brain_Cerebellar_Hemisphere,111.75,57.38
Brain_Cerebellum,107.38,51.42
Brain_Cortex,68.79,10.68
Brain_Frontal_Cortex_BA9,70.76,13.18
Brain_Hippocampus,36.62,4.38
Brain_Hypothalamus,59.66,7.66
Brain_Nucleus_accumbens_basal_ganglia,61.55,7.17
Brain_Putamen_basal_ganglia,43.19,5.82
Brain_Spinal_cord_cervical_c-1,45.90,3.45
Brain_Substantia_nigra,41.34,4.03
Breast_Mammary_Tissue,83.37,11.67
Cells_Cultured_fibroblasts,113.84,38.04
Cells_EBV-transformed_lymphocytes,293.12,0.44
Cervix_Ectocervix,125.36,19.49
Cervix_Endocervix,133.91,18.44
Colon_Sigmoid,85.29,33.05
Colon_Transverse,68.53,13.74
Esophagus_Gastroesophageal_Junction,82.58,63.51
Esophagus_Mucosa,59.55,5.25
Esophagus_Muscularis,79.73,74.28
Fallopian_Tube,117.81,16.68
Heart_Atrial_Appendage,30.96,4.65
Heart_Left_Ventricle,21.48,3.18
Kidney_Cortex,42.52,3.93
Kidney_Medulla,71.10,6.11
Liver,39.37,2.59
Lung,115.10,41.34
Minor_Salivary_Gland,65.34,6.39
Muscle_Skeletal,15.26,5.63
Nerve_Tibial,115.99,15.73
Ovary,120.75,8.32
Pancreas,28.75,2.32
Pituitary,114.49,6.42
Prostate,92.53,17.34
Skin_Not_Sun_Exposed_Suprapubic,71.43,12.32
Skin_Sun_Exposed_Lower_leg,76.12,15.22
Small_Intestine_Terminal_Ileum,92.24,8.87
Spleen,128.64,15.34
Stomach,54.51,7.13
Testis,74.10,7.25
Thyroid,100.16,8.23
Uterus,133.34,26.59
Vagina,87.42,10.21
Whole_Blood,106.59,1.91
