variant,train_context,eval_context,n,positive_n,threshold,f1,precision,recall,auroc,auprc,graph_version,prediction_file
baseline,Artery,Artery,4792,2570,0.45000000000000007,0.8670779584969153,0.8344728319539403,0.9023346303501946,0.9238077309676493,0.9261723789234309,graph_v2,preds/baseline__train-Artery__eval-Artery.npz
baseline,Artery,Brain,4566,2418,0.45000000000000007,0.8714452668484612,0.8236377025036818,0.9251447477253929,0.9284952397675411,0.9269666289739574,graph_v2,preds/baseline__train-Artery__eval-Brain.npz
baseline,Artery,Combined,4864,2539,0.45000000000000007,0.8572984749455338,0.7952172448635905,0.929893658920835,0.9250572784984353,0.9244003329369666,graph_v2,preds/baseline__train-Artery__eval-Combined.npz
baseline,Artery,Liver,4150,2346,0.45000000000000007,0.864413680781759,0.8273577552611068,0.9049445865302643,0.9131998986811537,0.9253057877121924,graph_v2,preds/baseline__train-Artery__eval-Liver.npz
baseline,Artery,MuscleSkeletal,1425,765,0.45000000000000007,0.8328479906814211,0.7510504201680672,0.934640522875817,0.8992929292929294,0.907017536122914,graph_v2,preds/baseline__train-Artery__eval-MuscleSkeletal.npz
baseline,Artery,Octopus,1678,929,0.45000000000000007,0.8021563342318059,0.8034557235421166,0.8008611410118407,0.8382515043380411,0.8440370244166434,graph_v2,preds/baseline__train-Artery__eval-Octopus.npz
baseline,Artery,Ptychodera,1634,875,0.45000000000000007,0.7618522601984564,0.7358892438764644,0.7897142857142857,0.7871951816299642,0.7768447959468978,graph_v2,preds/baseline__train-Artery__eval-Ptychodera.npz
baseline,Artery,Strongylocentrotus,1493,724,0.45000000000000007,0.7353509336767546,0.6887816646562123,0.7886740331491713,0.7904719482142986,0.7558649812102324,graph_v2,preds/baseline__train-Artery__eval-Strongylocentrotus.npz
baseline,Brain,Artery,4792,2570,0.375,0.8621880998080614,0.8507575757575757,0.8739299610894942,0.9266594752860501,0.9301592655325402,graph_v2,preds/baseline__train-Brain__eval-Artery.npz
baseline,Brain,Brain,4566,2418,0.375,0.8689078973542869,0.8371023380605596,0.9032258064516129,0.9301417980909782,0.928624460158664,graph_v2,preds/baseline__train-Brain__eval-Brain.npz
baseline,Brain,Combined,4864,2539,0.375,0.8630009319664492,0.8191790516631281,0.9117762898779047,0.9311907575160825,0.9336336509866202,graph_v2,preds/baseline__train-Brain__eval-Combined.npz
baseline,Brain,Liver,4150,2346,0.375,0.8635328225305446,0.8397100281917036,0.8887468030690537,0.9159606482137828,0.9283391709278416,graph_v2,preds/baseline__train-Brain__eval-Liver.npz
baseline,Brain,MuscleSkeletal,1425,765,0.375,0.8452380952380952,0.7759562841530054,0.9281045751633987,0.9047197464844523,0.910984996315439,graph_v2,preds/baseline__train-Brain__eval-MuscleSkeletal.npz
baseline,Brain,Octopus,1678,929,0.375,0.7875920084121977,0.7697841726618705,0.806243272335845,0.8098634562624583,0.8100778078634527,graph_v2,preds/baseline__train-Brain__eval-Octopus.npz
baseline,Brain,Ptychodera,1634,875,0.375,0.7713651498335183,0.749730312837109,0.7942857142857143,0.8016465273856578,0.7907282850958519,graph_v2,preds/baseline__train-Brain__eval-Ptychodera.npz
baseline,Brain,Strongylocentrotus,1493,724,0.375,0.7007772020725389,0.6597560975609756,0.7472375690607734,0.7595634353289412,0.729834505882342,graph_v2,preds/baseline__train-Brain__eval-Strongylocentrotus.npz
baseline,Combined,Artery,4792,2570,0.475,0.8534684333593141,0.8548009367681498,0.8521400778210116,0.9183038731888754,0.9208471339791714,graph_v2,preds/baseline__train-Combined__eval-Artery.npz
baseline,Combined,Brain,4566,2418,0.475,0.8585961342828077,0.8450140168201842,0.8726220016542597,0.9242565843079449,0.9255166132870982,graph_v2,preds/baseline__train-Combined__eval-Brain.npz
baseline,Combined,Combined,4864,2539,0.475,0.8673970532678504,0.833393829401089,0.904293028751477,0.9330997302299187,0.9356244158996485,graph_v2,preds/baseline__train-Combined__eval-Combined.npz
baseline,Combined,Liver,4150,2346,0.475,0.865331928345627,0.8557732388495206,0.8751065643648764,0.9188187470109995,0.9317681919428714,graph_v2,preds/baseline__train-Combined__eval-Liver.npz
baseline,Combined,MuscleSkeletal,1425,765,0.475,0.8547317661241712,0.7930648769574944,0.9267973856209151,0.9090314913844326,0.9139286598022227,graph_v2,preds/baseline__train-Combined__eval-MuscleSkeletal.npz
baseline,Combined,Octopus,1678,929,0.475,0.7778981581798483,0.7829880043620502,0.7728740581270183,0.815860688309206,0.8233337736775274,graph_v2,preds/baseline__train-Combined__eval-Octopus.npz
baseline,Combined,Ptychodera,1634,875,0.475,0.7722772277227723,0.7444326617179216,0.8022857142857143,0.8086534914361001,0.798838695364688,graph_v2,preds/baseline__train-Combined__eval-Ptychodera.npz
baseline,Combined,Strongylocentrotus,1493,724,0.475,0.7355473554735548,0.6629711751662971,0.8259668508287292,0.7670254114908506,0.6730624468164017,graph_v2,preds/baseline__train-Combined__eval-Strongylocentrotus.npz
baseline,Liver,Artery,4792,2570,0.525,0.8318687756297598,0.8349666797334379,0.8287937743190662,0.9044675284649087,0.9091274125241641,graph_v2,preds/baseline__train-Liver__eval-Artery.npz
baseline,Liver,Brain,4566,2418,0.525,0.8372564935064936,0.8219123505976096,0.8531844499586435,0.9070366494001383,0.9088442339216928,graph_v2,preds/baseline__train-Liver__eval-Brain.npz
