species,region_id,source_row_id,label,split,Chr,Position,Strand,Local_Position,EditingLevel,source_file
Strongylocentrotus,Scaffold84:+:662190:663016,38437,yes,train,Scaffold84,662247,+,104,0.7265625,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold275:-:96343:100307,20367,yes,train,Scaffold275,96695,-,2008,0.3235294117647059,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold167:-:867544:867811,11463,no,train,Scaffold167,867730,-,109,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold3746:+:9420:9704,25210,yes,train,Scaffold3746,9489,+,77,0.6,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold241:+:107782:107977,18034,yes,train,Scaffold241,107950,+,196,0.65234375,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold54:-:627695:627912,31166,yes,train,Scaffold54,627731,-,152,0.596244131455399,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold371:+:467811:469220,24803,no,train,Scaffold371,468547,+,83,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1053:-:194747:195011,1488,yes,train,Scaffold1053,194995,-,31,0.9821428571428572,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold275:-:96343:100307,20492,no,train,Scaffold275,99787,-,676,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold25:-:97643:98266,18671,yes,train,Scaffold25,97650,-,640,0.373015873015873,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1230:+:179152:179556,5972,yes,train,Scaffold1230,179180,+,36,0.3228962818003913,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold223:+:564349:565669,16140,no,train,Scaffold223,564479,+,195,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold342:+:363740:366263,23603,no,train,Scaffold342,365123,+,163,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold2378:-:71808:72956,17081,no,train,Scaffold2378,72517,-,478,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold625:-:143622:144093,33633,yes,train,Scaffold625,143740,-,292,0.2091503267973856,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold573:-:787013:787187,32381,no,train,Scaffold573,787088,-,137,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold3581:-:11877:12198,24290,yes,train,Scaffold3581,11959,-,174,0.3095238095238095,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold4834:+:7098:7762,29301,no,train,Scaffold4834,7148,+,53,0,Strongylocentrotus_prebalancing.csv.gz
