variant,gene,tissue,auroc,n_edited,n_not_edited,n_intermediate_excluded,n_unmeasured_excluded,n_total_adenosines
baseline,AJUBA,Brain,0.8761792453,16,53,27,0,96
baseline,BLCAP,Brain,0.9807692308,4,39,9,1,53
baseline,FLNA,Brain,1,3,9,4,0,16
baseline,TTYH2,Brain,,1,14,2,0,17
baseline,NEIL1,Brain,0.5,2,2,3,0,7
baseline,GRIA2,Brain,0.7268518519,6,36,7,0,49
baseline,GRIA3,Brain,0.8823529412,2,17,0,0,19
baseline,AJUBA,Combined,0.894335512,17,54,25,0,96
baseline,BLCAP,Combined,0.9230769231,2,39,11,1,53
baseline,FLNA,Combined,1,3,9,4,0,16
baseline,TTYH2,Combined,1,2,14,1,0,17
baseline,NEIL1,Combined,0.5,2,4,1,0,7
baseline,GRIA2,Combined,0.568627451,6,34,9,0,49
baseline,GRIA3,Combined,0.9117647059,2,17,0,0,19
baseline,AJUBA,Liver,0.8663101604,17,55,24,0,96
baseline,BLCAP,Liver,0.7209302326,2,43,7,1,53
baseline,FLNA,Liver,1,2,12,2,0,16
baseline,TTYH2,Liver,0.8,2,15,0,0,17
baseline,NEIL1,Liver,0.5625,2,4,1,0,7
baseline,GRIA2,Liver,0.8,3,45,1,0,49
baseline,GRIA3,Liver,0.9705882353,2,17,0,0,19
bioaware,AJUBA,Brain,0.8172169811,16,53,27,0,96
bioaware,BLCAP,Brain,0.9615384615,4,39,9,1,53
bioaware,FLNA,Brain,0.8888888889,3,9,4,0,16
bioaware,TTYH2,Brain,,1,14,2,0,17
bioaware,NEIL1,Brain,0.75,2,2,3,0,7
bioaware,GRIA2,Brain,0.9027777778,6,36,7,0,49
bioaware,GRIA3,Brain,0.7352941176,2,17,0,0,19
bioaware,AJUBA,Combined,0.7505446623,17,54,25,0,96
bioaware,BLCAP,Combined,0.9487179487,2,39,11,1,53
bioaware,FLNA,Combined,1,3,9,4,0,16
bioaware,TTYH2,Combined,0.8928571429,2,14,1,0,17
bioaware,NEIL1,Combined,0.875,2,4,1,0,7
bioaware,GRIA2,Combined,0.8529411765,6,34,9,0,49
bioaware,GRIA3,Combined,0.7647058824,2,17,0,0,19
bioaware,AJUBA,Liver,0.8695187166,17,55,24,0,96
bioaware,BLCAP,Liver,0.8720930233,2,43,7,1,53
bioaware,FLNA,Liver,0.8333333333,2,12,2,0,16
bioaware,TTYH2,Liver,0.85,2,15,0,0,17
bioaware,NEIL1,Liver,0.875,2,4,1,0,7
bioaware,GRIA2,Liver,0.9111111111,3,45,1,0,49
bioaware,GRIA3,Liver,0.7941176471,2,17,0,0,19
joint_baseline,AJUBA,Brain,0.7676886792,16,53,27,0,96
joint_baseline,BLCAP,Brain,0.9358974359,4,39,9,1,53
joint_baseline,FLNA,Brain,0.962962963,3,9,4,0,16
joint_baseline,TTYH2,Brain,,1,14,2,0,17
joint_baseline,NEIL1,Brain,0.75,2,2,3,0,7
joint_baseline,GRIA2,Brain,0.7037037037,6,36,7,0,49
joint_baseline,GRIA3,Brain,0.9411764706,2,17,0,0,19
joint_baseline,AJUBA,Combined,0.7712418301,17,54,25,0,96
joint_baseline,BLCAP,Combined,0.858974359,2,39,11,1,53
joint_baseline,FLNA,Combined,0.962962963,3,9,4,0,16
joint_baseline,TTYH2,Combined,1,2,14,1,0,17
joint_baseline,NEIL1,Combined,0.75,2,4,1,0,7
joint_baseline,GRIA2,Combined,0.7205882353,6,34,9,0,49
joint_baseline,GRIA3,Combined,0.9411764706,2,17,0,0,19
joint_baseline,AJUBA,Liver,0.7572192513,17,55,24,0,96
joint_baseline,BLCAP,Liver,0.8488372093,2,43,7,1,53
joint_baseline,FLNA,Liver,0.9166666667,2,12,2,0,16
joint_baseline,TTYH2,Liver,0.9666666667,2,15,0,0,17
joint_baseline,NEIL1,Liver,0.75,2,4,1,0,7
joint_baseline,GRIA2,Liver,0.8888888889,3,45,1,0,49
joint_baseline,GRIA3,Liver,0.9411764706,2,17,0,0,19
joint,AJUBA,Brain,0.8608490566,16,53,27,0,96
joint,BLCAP,Brain,0.9230769231,4,39,9,1,53
joint,FLNA,Brain,1,3,9,4,0,16
joint,TTYH2,Brain,,1,14,2,0,17
joint,NEIL1,Brain,1,2,2,3,0,7
joint,GRIA2,Brain,0.8981481481,6,36,7,0,49
joint,GRIA3,Brain,0.8235294118,2,17,0,0,19
joint,AJUBA,Combined,0.825708061,17,54,25,0,96
joint,BLCAP,Combined,1,2,39,11,1,53
joint,FLNA,Combined,1,3,9,4,0,16
joint,TTYH2,Combined,0.9464285714,2,14,1,0,17
joint,NEIL1,Combined,1,2,4,1,0,7
joint,GRIA2,Combined,0.9117647059,6,34,9,0,49
joint,GRIA3,Combined,0.8529411765,2,17,0,0,19
joint,AJUBA,Liver,0.8481283422,17,55,24,0,96
joint,BLCAP,Liver,0.976744186,2,43,7,1,53
joint,FLNA,Liver,0.9583333333,2,12,2,0,16
joint,TTYH2,Liver,0.9,2,15,0,0,17
joint,NEIL1,Liver,1,2,4,1,0,7
joint,GRIA2,Liver,0.9259259259,3,45,1,0,49
joint,GRIA3,Liver,0.8529411765,2,17,0,0,19
