tissue,variant,m_lt1,m_1_5,m_5_10,m_10_15,m_ge15,corr_inter,n_lt1,n_1_5,n_5_10,n_10_15,n_ge15
Artery,baseline,0.22569914261761653,0.4654621795122082,0.6048933697479015,0.6885724758229604,0.7974777838188959,0.30427621631678775,2222,3899,1755,984,2570
Artery,bioaware,0.20251328971497695,0.4943794929193827,0.6689505551071553,0.7590146649764289,0.868766382136912,0.2634438736105693,2222,3899,1755,984,2570
Brain,baseline,0.18436122368891297,0.4378042817841125,0.5943968240360272,0.6675626984102382,0.804014671063572,0.29911915569094105,2148,3699,1547,876,2418
Brain,bioaware,0.14664006771408256,0.40120429446956324,0.5910241261415412,0.6843101819179934,0.8378156523387817,0.2767450333666456,2148,3699,1547,876,2418
Liver,baseline,0.2888378673807384,0.5166187114980361,0.6287883897488818,0.6925858187407036,0.7956960354820497,0.2665903469768048,1804,2949,1264,680,2346
Liver,bioaware,0.18504562804864494,0.4257051419399758,0.5986397432810734,0.672495588181525,0.8217369036704347,0.26574590085471017,1804,2949,1264,680,2346
MuscleSkeletal,baseline,0.23381759411995792,0.4493341971274523,0.5554384152935586,0.6066984173877423,0.6629227957493485,0.22311020794017428,660,3129,1002,418,765
MuscleSkeletal,bioaware,0.18599445418808064,0.5001969690856677,0.6225866809382911,0.6928441509390969,0.7718002422830763,0.1856006936365998,660,3129,1002,418,765
Combined,baseline,0.21377255850936688,0.49904806860598244,0.6683306987040802,0.7394770169815228,0.8520328048244167,0.29721204147996466,2325,5265,1963,1058,2539
Combined,bioaware,0.1628918219132168,0.4189650839762467,0.5984957217676092,0.6685131540912141,0.796270352638924,0.2511513913908989,2325,5265,1963,1058,2539
