jsonl_line,Genomic_Location,editing_level_pct
0,chr7:43944351.0,4.10825199645075
1,chr7:43944338.0,12.2987882076325
2,chr7:43944330.0,7.21878138600603
3,chr7:43944290.0,2.88169099756691
4,chr7:43944260.0,4.93307839388145
5,chr7:43944258.0,3.09647733272988
6,chr7:43944250.0,8.23873891941759
7,chr7:43944186.0,1.44974884632662
8,chr7:43944168.0,3.53600516087412
9,chr7:43942301.0,2.10480685868413
10,chr7:43942247.0,1.96327478589055
11,chr7:43942246.0,1.50070752960453
12,chr7:43942233.0,3.10012859277795
13,chr7:43942232.0,7.22770909593204
14,chr7:43942228.0,3.47072338647915
15,chr7:43942215.0,3.68283000141784
16,chr7:43942203.0,7.47678908881768
17,chr7:43942194.0,6.56546164072216
18,chr7:43942191.0,8.69395542450785
19,chr7:43942119.0,1.31800436947101
20,chr22:26523854.0,7.8839317009664
21,chr22:26523800.0,10.8436730735759
22,chr22:26523785.0,3.58498831775701
23,chr22:26523762.0,12.0077393171468
24,chr22:26523761.0,6.54901960784314
25,chr22:26523759.0,9.51368892545363
26,chr22:26523757.0,5.65252544468753
27,chr22:26523755.0,1.73655328903193
28,chr22:26523754.0,4.048687642456
29,chr22:26523753.0,4.28300482558279
30,chr22:26523752.0,4.21372930866602
31,chr22:26523751.0,7.29897204342396
32,chr22:26523748.0,12.808472130506
33,chr22:26523722.0,3.14749905267147
34,chr22:26523712.0,3.35641981885988
35,chr22:26523705.0,1.83643810278769
36,chr22:26523699.0,2.36800742095906
37,chr22:26523690.0,2.23880597014925
38,chr22:26523689.0,3.15233747353924
39,chr22:26523673.0,7.88990825688073
40,chr22:26523669.0,4.16181164192715
41,chr22:26523655.0,1.26963973972385
42,chr22:26523652.0,1.23230204509701
43,chr22:26523651.0,3.93783196839268
44,chr22:26523638.0,3.26013741075037
45,chr22:26523621.0,1.21055825242718
46,chr22:26523619.0,1.06456259001816
47,chr22:26523613.0,3.10782906940118
48,chr22:26522998.0,5.48853296001976
49,chr22:26522965.0,14.2804805152234
50,chr22:26522960.0,1.64704561193359
51,chr22:26522948.0,1.43760570630193
52,chr22:26522934.0,4.90723693527829
53,chr22:26522926.0,1.80920037048472
54,chr22:26522918.0,9.54074132930754
55,chr22:26522909.0,2.12426758317978
56,chr22:26522908.0,3.3140655105973
57,chr22:26522884.0,5.44383931480706
58,chr22:26522873.0,5.08736082732163
