architecture,setting,best_epoch,best_valid_f1,selected_threshold,history_path,history_sha256,summary_path,summary_sha256,data_sha256
baseline,Artery,239,0.8499626772829062,0.45000000000000007,checkpoints/baseline_Artery/history.csv,cce321403160e7b80326f200e45e01c14915148141ff3b4797442d6ea2706007,checkpoints/baseline_Artery/summary.json,339c598a10da913c234975634806d38ddceaf6f12d5cc685d0bce402f533ec7f,"{""test"":""27621a48125df0328acde6308c3f078bca2f1fb835142a23dd4c169941d3d0bf"",""train"":""2f1a54884f880bea2389623de11618d8e7a839493c1b3eaa2377fde90f3fbf0b"",""valid"":""0e93f0edc785bbfb79dc759cd1b080390698928ddd6fedcf1e2f91563b660d85""}"
bioaware,Artery,330,0.8356854838709677,0.4,checkpoints/bioaware_Artery/history.csv,0ff354e41be770952c0a001ce4268f0e9884a760a6c091975e65ef3d2cb8e422,checkpoints/bioaware_Artery/summary.json,4412b103b4f9632bb84f5cedf253b352d51191540b46ffbaf0bdff8670b70a2d,"{""test"":""27621a48125df0328acde6308c3f078bca2f1fb835142a23dd4c169941d3d0bf"",""train"":""2f1a54884f880bea2389623de11618d8e7a839493c1b3eaa2377fde90f3fbf0b"",""valid"":""0e93f0edc785bbfb79dc759cd1b080390698928ddd6fedcf1e2f91563b660d85""}"
baseline,Brain,795,0.871912401324166,0.375,checkpoints/baseline_Brain/history.csv,6434f7d15170ea85c525ae2b8c22b317444bd089b33c898fcb772a35d84778ad,checkpoints/baseline_Brain/summary.json,9a4bddbc518da27bb22dff1b22579169ed497cf7b7594f20075a0809cdadc527,"{""test"":""c2e95092d91c929f85c52fee55b587ed6572c2db4ffc470d23f180baeefe2a5b"",""train"":""ae4b61fdd339ccf02f9b842c177dc6ed75fe0c9ce01471da50e8506249fdf936"",""valid"":""505f514ff02d8d8a564c65d0c25372307f1528011e45c903857c29d6abd4edb6""}"
bioaware,Brain,896,0.8679825685721609,0.25,checkpoints/bioaware_Brain/history.csv,dc93a9899f7ba0dbc9a5a7cf74646e726f0b15c7fb773145c7d302c7208a6346,checkpoints/bioaware_Brain/summary.json,b5d203c2d0349d7ff080fa641077fe341f874e7b4c7fae934effa3949e7ebcf3,"{""test"":""c2e95092d91c929f85c52fee55b587ed6572c2db4ffc470d23f180baeefe2a5b"",""train"":""ae4b61fdd339ccf02f9b842c177dc6ed75fe0c9ce01471da50e8506249fdf936"",""valid"":""505f514ff02d8d8a564c65d0c25372307f1528011e45c903857c29d6abd4edb6""}"
baseline,Liver,226,0.8341329677861549,0.525,checkpoints/baseline_Liver/history.csv,058c0bbd8f480d540ae8acd7e3cb3bc28f21cfe72ced3d6db7d6b9d514722224,checkpoints/baseline_Liver/summary.json,c2a1045a80b517244be2ec0c24397bcfd3ea1609379150f95fc53ea8ab9242e5,"{""test"":""d261e04803d5fadb06ea3ec6cbae8c225ab630e5bc8c33272d18ae0ff11362af"",""train"":""a6c22c5d2cbab0ce4b11fc51e37f216a4936015af4af0653a0806f64db3a11a6"",""valid"":""7de928eee98b6e7a15514e6d06959ff9dd61da882b01c624d1485cb1cf71994e""}"
bioaware,Liver,162,0.8330499829989799,0.375,checkpoints/bioaware_Liver/history.csv,bc8ea812702a8338ac915883947da9a61dd1695dfd3a10baec04a0ec79347629,checkpoints/bioaware_Liver/summary.json,ddce0717ef09a29ea62a45a607f42994e237c574d3bfe2b832a26d93f8278fec,"{""test"":""d261e04803d5fadb06ea3ec6cbae8c225ab630e5bc8c33272d18ae0ff11362af"",""train"":""a6c22c5d2cbab0ce4b11fc51e37f216a4936015af4af0653a0806f64db3a11a6"",""valid"":""7de928eee98b6e7a15514e6d06959ff9dd61da882b01c624d1485cb1cf71994e""}"
baseline,MuscleSkeletal,354,0.8396094839609484,0.35,checkpoints/baseline_MuscleSkeletal/history.csv,ca4c44cb468b4148d97d2455d15bf75ff1e0ab84bf6858c3edefe8b9b1a49a39,checkpoints/baseline_MuscleSkeletal/summary.json,86898601bb21e3a405114744752c32540e6e83484091672b7e084510be50345e,"{""test"":""10c0e1462e0c7b992e1a7ece1cc51f84a6ca2fafa28322ddf62b2016e6de8933"",""train"":""7463d2abf2d106d0386bc2c1b4f671ee91a4afa46ee1923488d1b4bfc41a0605"",""valid"":""96e73170e9863c1d20ee67fd2504d7c125578f3014f1b8c6e8f83fe6ed6ae3a2""}"
bioaware,MuscleSkeletal,914,0.8153310104529616,0.1,checkpoints/bioaware_MuscleSkeletal/history.csv,bd6353fa61e1d6b396b187e89d0fd273fbfa31d7d190dcfc705f86216b90cbee,checkpoints/bioaware_MuscleSkeletal/summary.json,b9b33fd1bb3f176b6957a5c776a6a7144322f72ac3ff46a2e4fde16b2290848c,"{""test"":""10c0e1462e0c7b992e1a7ece1cc51f84a6ca2fafa28322ddf62b2016e6de8933"",""train"":""7463d2abf2d106d0386bc2c1b4f671ee91a4afa46ee1923488d1b4bfc41a0605"",""valid"":""96e73170e9863c1d20ee67fd2504d7c125578f3014f1b8c6e8f83fe6ed6ae3a2""}"
baseline,Combined,668,0.8719813035575176,0.475,checkpoints/baseline_Combined/history.csv,c5a817b518e2bb33cf7a14a512952f0f995bd1f990d1dcf250f12e92434c6909,checkpoints/baseline_Combined/summary.json,fd54fc714f32ab576d61f80d78961f6b7a3c298e8a673dc1777c8e44eda3c653,"{""test"":""8228d28c4b92afe4d014d0fa9549a586ebc8acf4677b2bc5b29002df6bdb1dbf"",""train"":""9afc6cbd04717b5f3ed66dade7c18d70722322f83ff1f5280fb9986806466f0a"",""valid"":""f82984631df749fd5ae2cfbd1cca0f5290eaf21c23d9df418baf384add330509""}"
bioaware,Combined,389,0.8514750762970499,0.25,checkpoints/bioaware_Combined/history.csv,88a78d07ae4694955261a35e891249e71fa333c38a2b0ace302a0b2399bcf714,checkpoints/bioaware_Combined/summary.json,6f2945c127bb7ecfbf29d8b29fe08af0e298da5d678c4df83a4e3ea8f20fd7fc,"{""test"":""8228d28c4b92afe4d014d0fa9549a586ebc8acf4677b2bc5b29002df6bdb1dbf"",""train"":""9afc6cbd04717b5f3ed66dade7c18d70722322f83ff1f5280fb9986806466f0a"",""valid"":""f82984631df749fd5ae2cfbd1cca0f5290eaf21c23d9df418baf384add330509""}"
