sample_id,position,original_pairing_indicator,paired_indicator_prediction,unpaired_indicator_prediction,delta
0,-40,1,0.9996849298477173,0.9996862411499023,-1.3113021850585938e-06
1,-40,1,0.866616427898407,0.8676626682281494,-0.0010462403297424316
2,-40,1,0.9958986639976501,0.9960533380508423,-0.00015467405319213867
3,-40,1,0.9495462775230408,0.9516147971153259,-0.0020685195922851562
6,-40,1,0.9997289776802063,0.9997273087501526,1.6689300537109375e-06
7,-40,1,0.9844146966934204,0.9852809309959412,-0.000866234302520752
9,-40,1,0.9962621331214905,0.9964357614517212,-0.0001736283302307129
11,-40,1,0.8197540640830994,0.8252782225608826,-0.005524158477783203
12,-40,1,0.9990580677986145,0.9990583062171936,-2.384185791015625e-07
19,-40,1,0.8677819967269897,0.8681954741477966,-0.00041347742080688477
20,-40,1,0.9932748079299927,0.993071973323822,0.0002028346061706543
24,-40,1,0.9913333058357239,0.9913263916969299,6.9141387939453125e-06
25,-40,1,0.9690998792648315,0.9679735898971558,0.0011262893676757812
36,-40,1,0.9978451728820801,0.9977447986602783,0.00010037422180175781
40,-40,1,0.95379638671875,0.9544606804847717,-0.0006642937660217285
41,-40,1,0.9822904467582703,0.9818323850631714,0.00045806169509887695
42,-40,1,0.9094909429550171,0.9099909663200378,-0.000500023365020752
46,-40,1,0.9607455730438232,0.9600147604942322,0.0007308125495910645
47,-40,0,0.9968672394752502,0.9969610571861267,-9.381771087646484e-05
48,-40,1,0.9985871315002441,0.9977337121963501,0.000853419303894043
49,-40,1,0.9956924319267273,0.9956667423248291,2.568960189819336e-05
50,-40,1,0.9988846182823181,0.9988741278648376,1.049041748046875e-05
52,-40,1,0.9843786358833313,0.9842371344566345,0.00014150142669677734
53,-40,1,0.9948258996009827,0.9947226047515869,0.00010329484939575195
54,-40,1,0.9998468160629272,0.9998461008071899,7.152557373046875e-07
56,-40,1,0.9891834259033203,0.9887983202934265,0.00038510560989379883
62,-40,1,0.9986956715583801,0.9986769556999207,1.8715858459472656e-05
63,-40,1,0.9077388644218445,0.9032970666885376,0.004441797733306885
64,-40,1,0.9750040173530579,0.9765592813491821,-0.0015552639961242676
68,-40,1,0.972800076007843,0.9722650051116943,0.0005350708961486816
73,-40,1,0.996510922908783,0.9969320297241211,-0.00042110681533813477
75,-40,1,0.9992251396179199,0.9992198944091797,5.245208740234375e-06
76,-40,1,0.9962299466133118,0.9961795806884766,5.036592483520508e-05
77,-40,1,0.9670616388320923,0.9661305546760559,0.000931084156036377
78,-40,0,0.829443633556366,0.8266408443450928,0.0028027892112731934
83,-40,1,0.9457729458808899,0.9498660564422607,-0.00409311056137085
84,-40,1,0.9482260942459106,0.9470070004463196,0.0012190937995910645
85,-40,1,0.9970384836196899,0.9971460700035095,-0.00010758638381958008
88,-40,1,0.7641491889953613,0.7642389535903931,-8.976459503173828e-05
90,-40,1,0.8921387195587158,0.8930856585502625,-0.0009469389915466309
91,-40,1,0.9986394047737122,0.9985731840133667,6.622076034545898e-05
92,-40,1,0.9966195821762085,0.9966358542442322,-1.627206802368164e-05
94,-40,1,0.9269866347312927,0.9266484975814819,0.000338137149810791
95,-40,1,0.975529670715332,0.9721176028251648,0.0034120678901672363
99,-40,1,0.9958193302154541,0.9957361221313477,8.320808410644531e-05
103,-40,1,0.9872615337371826,0.9872429370880127,1.8596649169921875e-05
104,-40,0,0.9759924411773682,0.9760781526565552,-8.571147918701172e-05
105,-40,1,0.9571912884712219,0.9555509686470032,0.00164031982421875
106,-40,1,0.9447356462478638,0.9448049068450928,-6.92605972290039e-05
109,-40,1,0.9959700107574463,0.996282160282135,-0.0003121495246887207
110,-40,1,0.9958513975143433,0.9957858920097351,6.55055046081543e-05
112,-40,1,0.9288537502288818,0.9308961629867554,-0.002042412757873535
113,-40,1,0.9683411717414856,0.9669389128684998,0.0014022588729858398
116,-40,1,0.9730753302574158,0.9731184244155884,-4.309415817260742e-05
118,-40,0,0.9959346055984497,0.9958673715591431,6.723403930664062e-05
121,-40,1,0.8811172246932983,0.8787991404533386,0.002318084239959717
124,-40,1,0.9961330890655518,0.9962003827095032,-6.729364395141602e-05
125,-40,0,0.7386685609817505,0.7471290230751038,-0.008460462093353271
127,-40,1,0.8108969926834106,0.8110315203666687,-0.00013452768325805664
129,-40,1,0.7473377585411072,0.7473136782646179,2.4080276489257812e-05
132,-40,1,0.7599326968193054,0.7563493847846985,0.0035833120346069336
134,-40,0,0.960885226726532,0.9620680212974548,-0.0011827945709228516
136,-40,1,0.9593511819839478,0.958798885345459,0.0005522966384887695
138,-40,1,0.9880062937736511,0.9873110055923462,0.0006952881813049316
139,-40,1,0.9977832436561584,0.9977360963821411,4.7147274017333984e-05
141,-40,1,0.9989523887634277,0.9989332556724548,1.913309097290039e-05
142,-40,1,0.9824730157852173,0.9823947548866272,7.826089859008789e-05
143,-40,1,0.9979623556137085,0.9979733824729919,-1.1026859283447266e-05
145,-40,1,0.8110702037811279,0.8065608739852905,0.004509329795837402
146,-40,1,0.9978000521659851,0.9978511333465576,-5.1081180572509766e-05
151,-40,1,0.9899189472198486,0.9897053837776184,0.0002135634422302246
153,-40,1,0.9411581158638,0.9414839744567871,-0.00032585859298706055
154,-40,1,0.9977292418479919,0.9976717829704285,5.745887756347656e-05
158,-40,1,0.9861831665039062,0.9862327575683594,-4.9591064453125e-05
162,-40,1,0.997616171836853,0.9977537989616394,-0.00013762712478637695
163,-40,0,0.8317153453826904,0.8260748386383057,0.005640506744384766
167,-40,1,0.9649637937545776,0.9654220342636108,-0.0004582405090332031
171,-40,0,0.9990065693855286,0.9990652203559875,-5.8650970458984375e-05
172,-40,1,0.9120010733604431,0.9125810861587524,-0.0005800127983093262
175,-40,1,0.9104243516921997,0.910027027130127,0.0003973245620727539
177,-40,1,0.9945986270904541,0.9945144653320312,8.416175842285156e-05
178,-40,1,0.9704980850219727,0.9704058170318604,9.226799011230469e-05
180,-40,1,0.7800048589706421,0.7830811738967896,-0.003076314926147461
185,-40,1,0.8912471532821655,0.8847044110298157,0.0065427422523498535
186,-40,1,0.981549859046936,0.9821121692657471,-0.0005623102188110352
187,-40,1,0.9922896027565002,0.9924127459526062,-0.00012314319610595703
189,-40,0,0.9940396547317505,0.994515597820282,-0.00047594308853149414
190,-40,1,0.894027590751648,0.8919265866279602,0.002101004123687744
192,-40,0,0.8225016593933105,0.8199832439422607,0.0025184154510498047
195,-40,1,0.9968020915985107,0.9967767596244812,2.5331974029541016e-05
198,-40,1,0.9672824144363403,0.9658219814300537,0.001460433006286621
199,-40,1,0.992737352848053,0.9931275844573975,-0.0003902316093444824
202,-40,1,0.9717327356338501,0.9717146158218384,1.811981201171875e-05
204,-40,1,0.9930118918418884,0.9930750131607056,-6.312131881713867e-05
205,-40,1,0.9910997748374939,0.9912462830543518,-0.00014650821685791016
206,-40,0,0.9212110042572021,0.9220051765441895,-0.0007941722869873047
208,-40,1,0.9984728693962097,0.998522937297821,-5.0067901611328125e-05
213,-40,0,0.9727204442024231,0.9730801582336426,-0.0003597140312194824
217,-40,1,0.999384880065918,0.9994052648544312,-2.0384788513183594e-05
218,-40,1,0.9901154041290283,0.9900476932525635,6.771087646484375e-05
220,-40,1,0.9286218285560608,0.928519606590271,0.00010222196578979492
221,-40,0,0.9927781224250793,0.992828905582428,-5.078315734863281e-05
222,-40,1,0.9992918968200684,0.9992062449455261,8.565187454223633e-05
225,-40,1,0.9362021088600159,0.938991367816925,-0.0027892589569091797
227,-40,1,0.99912029504776,0.9991132616996765,7.033348083496094e-06
230,-40,1,0.9930663108825684,0.9932714104652405,-0.00020509958267211914
231,-40,1,0.8965269327163696,0.8957305550575256,0.0007963776588439941
232,-40,1,0.9738659858703613,0.9745081663131714,-0.0006421804428100586
234,-40,0,0.8667322993278503,0.8713397979736328,-0.004607498645782471
236,-40,0,0.7938510179519653,0.7934592366218567,0.0003917813301086426
237,-40,1,0.9352205991744995,0.9351146817207336,0.00010591745376586914
239,-40,1,0.998522937297821,0.9985135197639465,9.417533874511719e-06
241,-40,1,0.9799781441688538,0.979885995388031,9.21487808227539e-05
242,-40,0,0.9976475834846497,0.9978736639022827,-0.00022608041763305664
243,-40,1,0.98536217212677,0.984637439250946,0.0007247328758239746
245,-40,1,0.9122730493545532,0.911998450756073,0.0002745985984802246
247,-40,1,0.9764996767044067,0.9769094586372375,-0.00040978193283081055
249,-40,1,0.9158955812454224,0.915397584438324,0.0004979968070983887
250,-40,1,0.9852433204650879,0.9851893186569214,5.4001808166503906e-05
251,-40,1,0.9973893761634827,0.9974068999290466,-1.7523765563964844e-05
259,-40,1,0.9954419136047363,0.9952740669250488,0.0001678466796875
261,-40,1,0.984730064868927,0.9852057099342346,-0.0004756450653076172
263,-40,1,0.9190627336502075,0.9147217869758606,0.004340946674346924
269,-40,1,0.7090147733688354,0.7226688265800476,-0.013654053211212158
271,-40,1,0.9974440336227417,0.997464656829834,-2.0623207092285156e-05
274,-40,1,0.798051118850708,0.8079903721809387,-0.009939253330230713
275,-40,1,0.9321778416633606,0.9318009614944458,0.0003768801689147949
276,-40,0,0.8539125323295593,0.8637909889221191,-0.009878456592559814
278,-40,1,0.8546732068061829,0.8546002507209778,7.295608520507812e-05
279,-40,0,0.9988986253738403,0.998917818069458,-1.919269561767578e-05
291,-40,1,0.9680686593055725,0.9678632020950317,0.00020545721054077148
294,-40,1,0.9970388412475586,0.9970001578330994,3.8683414459228516e-05
295,-40,0,0.9409010410308838,0.9412782788276672,-0.00037723779678344727
300,-40,1,0.9994227886199951,0.9994041919708252,1.8596649169921875e-05
301,-40,1,0.9299593567848206,0.928594172000885,0.0013651847839355469
311,-40,1,0.990858256816864,0.9911746978759766,-0.00031644105911254883
312,-40,1,0.9993351101875305,0.9993410706520081,-5.9604644775390625e-06
313,-40,1,0.9017230868339539,0.8996089696884155,0.00211411714553833
317,-40,1,0.9948293566703796,0.9950065612792969,-0.00017720460891723633
321,-40,1,0.9995983242988586,0.9996001124382019,-1.7881393432617188e-06
325,-40,0,0.9434240460395813,0.9474697113037109,-0.004045665264129639
326,-40,0,0.9577131867408752,0.9586048126220703,-0.0008916258811950684
327,-40,1,0.9667844772338867,0.9667692184448242,1.52587890625e-05
332,-40,1,0.8964078426361084,0.8993430733680725,-0.0029352307319641113
334,-40,1,0.9137759208679199,0.9141854643821716,-0.000409543514251709
337,-40,1,0.9882461428642273,0.9885485172271729,-0.00030237436294555664
338,-40,1,0.9159312844276428,0.8927804827690125,0.02315080165863037
342,-40,1,0.8273856043815613,0.82256680727005,0.0048187971115112305
346,-40,1,0.9350521564483643,0.9357640147209167,-0.0007118582725524902
347,-40,1,0.9737686514854431,0.9735539555549622,0.00021469593048095703
351,-40,0,0.8616209626197815,0.8571163415908813,0.0045046210289001465
352,-40,1,0.9902641773223877,0.9905098080635071,-0.00024563074111938477
354,-40,1,0.9962561130523682,0.9962940812110901,-3.796815872192383e-05
356,-40,1,0.9380178451538086,0.937714159488678,0.00030368566513061523
357,-40,1,0.7280406355857849,0.7365355491638184,-0.008494913578033447
358,-40,1,0.9961860775947571,0.9962055683135986,-1.9490718841552734e-05
361,-40,1,0.9877080917358398,0.9876819252967834,2.6166439056396484e-05
363,-40,1,0.7140976190567017,0.724340558052063,-0.010242938995361328
365,-40,0,0.9787806272506714,0.9793241024017334,-0.0005434751510620117
366,-40,0,0.8248066902160645,0.8206494450569153,0.00415724515914917
371,-40,1,0.9797160625457764,0.9792295098304749,0.00048655271530151367
372,-40,1,0.7712152004241943,0.7837884426116943,-0.0125732421875
373,-40,1,0.9996609687805176,0.9996645450592041,-3.5762786865234375e-06
374,-40,1,0.9938852190971375,0.9938972592353821,-1.2040138244628906e-05
375,-40,1,0.9458426237106323,0.9460828304290771,-0.00024020671844482422
377,-40,1,0.93196702003479,0.9324283003807068,-0.00046128034591674805
378,-40,1,0.9878175854682922,0.9879133105278015,-9.572505950927734e-05
379,-40,0,0.9050837159156799,0.9003844261169434,0.004699289798736572
381,-40,0,0.9996013045310974,0.9996423721313477,-4.106760025024414e-05
383,-40,1,0.9919899106025696,0.9919291734695435,6.073713302612305e-05
387,-40,1,0.9678863286972046,0.9660590887069702,0.001827239990234375
392,-40,1,0.9086145162582397,0.9090211391448975,-0.00040662288665771484
394,-40,0,0.8953062891960144,0.8943853974342346,0.0009208917617797852
396,-40,1,0.9699933528900146,0.9713252782821655,-0.001331925392150879
400,-40,1,0.9955161213874817,0.995459258556366,5.6862831115722656e-05
401,-40,1,0.8342075943946838,0.8424614071846008,-0.008253812789916992
402,-40,1,0.7681276202201843,0.7793163061141968,-0.011188685894012451
404,-40,0,0.9623870253562927,0.9586251974105835,0.0037618279457092285
405,-40,1,0.8832799792289734,0.8832592368125916,2.0742416381835938e-05
406,-40,1,0.9555963277816772,0.9576262831687927,-0.0020299553871154785
407,-40,0,0.9996511936187744,0.9996411800384521,1.0013580322265625e-05
411,-40,1,0.94941645860672,0.9487903118133545,0.0006261467933654785
412,-40,1,0.9819785952568054,0.9808444976806641,0.0011340975761413574
416,-40,1,0.9933040738105774,0.993240237236023,6.383657455444336e-05
424,-40,1,0.9676868319511414,0.9678374528884888,-0.0001506209373474121
429,-40,1,0.991367518901825,0.9914626479148865,-9.512901306152344e-05
430,-40,1,0.9862509965896606,0.9867802262306213,-0.0005292296409606934
432,-40,0,0.9809042811393738,0.9805025458335876,0.0004017353057861328
437,-40,1,0.7971817255020142,0.7959870100021362,0.0011947154998779297
438,-40,1,0.9995531439781189,0.9995645880699158,-1.1444091796875e-05
440,-40,1,0.9976089000701904,0.997374415397644,0.00023448467254638672
442,-40,0,0.7378044724464417,0.7237474918365479,0.014056980609893799
444,-40,1,0.9991095662117004,0.999140739440918,-3.11732292175293e-05
446,-40,1,0.9799479246139526,0.9807116389274597,-0.0007637143135070801
447,-40,1,0.9984626770019531,0.9984872341156006,-2.4557113647460938e-05
451,-40,0,0.9738967418670654,0.975456953048706,-0.001560211181640625
452,-40,0,0.9908863306045532,0.9908857345581055,5.960464477539062e-07
457,-40,1,0.9974326491355896,0.9973981380462646,3.451108932495117e-05
458,-40,1,0.9999393224716187,0.9999399185180664,-5.960464477539062e-07
459,-40,1,0.9964853525161743,0.9963924288749695,9.292364120483398e-05
460,-40,1,0.9876476526260376,0.9875588417053223,8.881092071533203e-05
462,-40,1,0.9830350875854492,0.9825568795204163,0.000478208065032959
465,-40,1,0.9984365105628967,0.9984373450279236,-8.344650268554688e-07
466,-40,1,0.9973505735397339,0.9973188042640686,3.17692756652832e-05
467,-40,1,0.9970399737358093,0.9971501231193542,-0.00011014938354492188
468,-40,1,0.7016329169273376,0.701657235622406,-2.4318695068359375e-05
471,-40,1,0.8963309526443481,0.8963388204574585,-7.867813110351562e-06
473,-40,1,0.9889211654663086,0.9887763857841492,0.00014477968215942383
474,-40,1,0.8643764853477478,0.8634499311447144,0.0009265542030334473
476,-40,1,0.9983136653900146,0.9983110427856445,2.6226043701171875e-06
479,-40,1,0.9230695962905884,0.9259096384048462,-0.0028400421142578125
482,-40,1,0.7765690088272095,0.7752832174301147,0.0012857913970947266
484,-40,0,0.9518406987190247,0.9525459408760071,-0.0007052421569824219
491,-40,1,0.9983755350112915,0.9983672499656677,8.285045623779297e-06
493,-40,0,0.8978264331817627,0.8956731557846069,0.0021532773971557617
494,-40,0,0.9944043159484863,0.9942915439605713,0.00011277198791503906
498,-40,1,0.9816602468490601,0.9807344079017639,0.0009258389472961426
499,-40,1,0.9991469383239746,0.9991538524627686,-6.9141387939453125e-06
500,-40,1,0.9796111583709717,0.9789820313453674,0.000629127025604248
502,-40,1,0.9705191850662231,0.9705227017402649,-3.516674041748047e-06
504,-40,1,0.9676817655563354,0.9677112698554993,-2.950429916381836e-05
505,-40,0,0.999326229095459,0.9993212223052979,5.0067901611328125e-06
508,-40,1,0.8117085099220276,0.8126484751701355,-0.0009399652481079102
509,-40,1,0.9798871278762817,0.979866087436676,2.104043960571289e-05
510,-40,1,0.7517414093017578,0.7564523220062256,-0.0047109127044677734
512,-40,0,0.9417658448219299,0.9425546526908875,-0.0007888078689575195
515,-40,1,0.7851009964942932,0.7827453017234802,0.0023556947708129883
520,-40,0,0.9937107563018799,0.9941277503967285,-0.0004169940948486328
522,-40,1,0.9430375099182129,0.9433242678642273,-0.0002867579460144043
524,-40,1,0.7881840467453003,0.7876615524291992,0.0005224943161010742
527,-40,0,0.9988928437232971,0.9989125728607178,-1.9729137420654297e-05
528,-40,0,0.9965208768844604,0.996878981590271,-0.0003581047058105469
531,-40,1,0.9914210438728333,0.990993320941925,0.0004277229309082031
532,-40,1,0.9384419918060303,0.9380884170532227,0.0003535747528076172
533,-40,1,0.8583152294158936,0.8411455154418945,0.017169713973999023
534,-40,1,0.9931615591049194,0.9932157397270203,-5.418062210083008e-05
536,-40,1,0.9944931268692017,0.9945173859596252,-2.4259090423583984e-05
537,-40,1,0.9833340048789978,0.983526885509491,-0.00019288063049316406
539,-40,1,0.9506217837333679,0.9539017081260681,-0.0032799243927001953
542,-40,1,0.90863037109375,0.9084804058074951,0.0001499652862548828
543,-40,0,0.9449795484542847,0.9476221203804016,-0.0026425719261169434
545,-40,1,0.9710063338279724,0.9707431197166443,0.000263214111328125
546,-40,1,0.9676445126533508,0.9645482897758484,0.0030962228775024414
550,-40,1,0.8920878171920776,0.8862928748130798,0.005794942378997803
552,-40,1,0.982591450214386,0.9828284382820129,-0.00023698806762695312
555,-40,1,0.999592125415802,0.9995885491371155,3.5762786865234375e-06
560,-40,1,0.9931632280349731,0.9920554757118225,0.0011077523231506348
568,-40,1,0.8575104475021362,0.8600683808326721,-0.0025579333305358887
578,-40,1,0.9610099792480469,0.960141658782959,0.0008683204650878906
579,-40,1,0.9689263701438904,0.9689458608627319,-1.9490718841552734e-05
580,-40,1,0.9491207003593445,0.9500220417976379,-0.000901341438293457
584,-40,0,0.9566236734390259,0.9568028450012207,-0.00017917156219482422
586,-40,1,0.9914036393165588,0.9913572072982788,4.64320182800293e-05
589,-40,1,0.9749121069908142,0.9744641184806824,0.00044798851013183594
592,-40,1,0.9864598512649536,0.9868198037147522,-0.000359952449798584
595,-40,1,0.9834387898445129,0.9837839007377625,-0.0003451108932495117
601,-40,0,0.7802405953407288,0.7788181304931641,0.0014224648475646973
602,-40,1,0.9999114274978638,0.9999096393585205,1.7881393432617188e-06
605,-40,1,0.9752665758132935,0.974454939365387,0.0008116364479064941
606,-40,0,0.9627346992492676,0.962335467338562,0.0003992319107055664
607,-40,0,0.9674991965293884,0.9674296975135803,6.949901580810547e-05
608,-40,1,0.9438343644142151,0.9430145025253296,0.000819861888885498
610,-40,1,0.9981968998908997,0.9982232451438904,-2.6345252990722656e-05
613,-40,1,0.9785436987876892,0.9787819981575012,-0.00023829936981201172
614,-40,1,0.9277404546737671,0.9281452894210815,-0.0004048347473144531
616,-40,1,0.9896665811538696,0.9896596074104309,6.973743438720703e-06
