tissue,model,f1,auroc
Artery,Per-tissue Baseline,0.8670779584969153,0.9238077309676493
Artery,Joint Baseline,0.8533640023001725,0.9152276317125876
Artery,Per-tissue Bio-aware,0.8584870154309372,0.9183379330150914
Artery,Joint Bio-aware,0.8592927012791572,0.924210494979459
Brain,Per-tissue Baseline,0.8689078973542869,0.9301417980909782
Brain,Joint Baseline,0.8546868604175194,0.9172367624566218
Brain,Per-tissue Bio-aware,0.8633034987794955,0.9274107870363953
Brain,Joint Bio-aware,0.8631372549019608,0.9258382583756524
Combined,Per-tissue Baseline,0.8673970532678504,0.9330997302299187
Combined,Joint Baseline,0.8557964184731386,0.9186946007868647
Combined,Per-tissue Bio-aware,0.835733748540288,0.9030388731487716
Combined,Joint Bio-aware,0.8538606403013183,0.9236920809564347
Liver,Per-tissue Baseline,0.8541014402003757,0.9092206293488185
Liver,Joint Baseline,0.8604358759430009,0.9108228753759289
Liver,Per-tissue Bio-aware,0.854344122657581,0.9100288409010573
Liver,Joint Bio-aware,0.862295777636325,0.9158058817858582
MuscleSkeletal,Per-tissue Baseline,0.8139390168014935,0.8687512378688849
MuscleSkeletal,Joint Baseline,0.8286229705351774,0.8916003168944346
MuscleSkeletal,Per-tissue Bio-aware,0.8161209068010076,0.8781976629035453
MuscleSkeletal,Joint Bio-aware,0.836340206185567,0.8975816993464052
