split,label,position,n,available_n,missing_n,missing_fraction
valid,0,-50,1920,1811,109,0.05677083333333333
valid,0,-49,1920,1819,101,0.05260416666666667
valid,0,-48,1920,1821,99,0.0515625
valid,0,-47,1920,1821,99,0.0515625
valid,0,-46,1920,1822,98,0.051041666666666666
valid,0,-45,1920,1823,97,0.050520833333333334
valid,0,-44,1920,1828,92,0.04791666666666667
valid,0,-43,1920,1832,88,0.04583333333333333
valid,0,-42,1920,1834,86,0.04479166666666667
valid,0,-41,1920,1837,83,0.043229166666666666
valid,0,-40,1920,1839,81,0.0421875
valid,0,-39,1920,1841,79,0.04114583333333333
valid,0,-38,1920,1841,79,0.04114583333333333
valid,0,-37,1920,1841,79,0.04114583333333333
valid,0,-36,1920,1850,70,0.036458333333333336
valid,0,-35,1920,1853,67,0.034895833333333334
valid,0,-34,1920,1855,65,0.033854166666666664
valid,0,-33,1920,1858,62,0.03229166666666667
valid,0,-32,1920,1863,57,0.0296875
valid,0,-31,1920,1864,56,0.029166666666666667
valid,0,-30,1920,1866,54,0.028125
valid,0,-29,1920,1866,54,0.028125
valid,0,-28,1920,1869,51,0.0265625
valid,0,-27,1920,1872,48,0.025
valid,0,-26,1920,1873,47,0.024479166666666666
valid,0,-25,1920,1875,45,0.0234375
valid,0,-24,1920,1877,43,0.022395833333333334
valid,0,-23,1920,1881,39,0.0203125
valid,0,-22,1920,1883,37,0.019270833333333334
valid,0,-21,1920,1886,34,0.017708333333333333
valid,0,-20,1920,1889,31,0.016145833333333335
valid,0,-19,1920,1892,28,0.014583333333333334
valid,0,-18,1920,1897,23,0.011979166666666667
valid,0,-17,1920,1898,22,0.011458333333333333
valid,0,-16,1920,1899,21,0.0109375
valid,0,-15,1920,1903,17,0.008854166666666666
valid,0,-14,1920,1903,17,0.008854166666666666
valid,0,-13,1920,1903,17,0.008854166666666666
valid,0,-12,1920,1903,17,0.008854166666666666
valid,0,-11,1920,1905,15,0.0078125
valid,0,-10,1920,1907,13,0.0067708333333333336
valid,0,-9,1920,1913,7,0.0036458333333333334
valid,0,-8,1920,1914,6,0.003125
valid,0,-7,1920,1914,6,0.003125
valid,0,-6,1920,1914,6,0.003125
valid,0,-5,1920,1916,4,0.0020833333333333333
valid,0,-4,1920,1918,2,0.0010416666666666667
valid,0,-3,1920,1919,1,0.0005208333333333333
valid,0,-2,1920,1920,0,0.0
valid,0,-1,1920,1920,0,0.0
valid,0,0,1920,1920,0,0.0
valid,0,1,1920,1920,0,0.0
valid,0,2,1920,1907,13,0.0067708333333333336
valid,0,3,1920,1901,19,0.009895833333333333
valid,0,4,1920,1893,27,0.0140625
valid,0,5,1920,1881,39,0.0203125
valid,0,6,1920,1872,48,0.025
valid,0,7,1920,1861,59,0.030729166666666665
valid,0,8,1920,1853,67,0.034895833333333334
valid,0,9,1920,1844,76,0.03958333333333333
valid,0,10,1920,1828,92,0.04791666666666667
